country,lat,lon,website,place_type
AT,46.8259676,15.4505929,zumthomann.at,Facility
AT,48.2182199,16.4037752,anglertreff.at,Commerce
AT,47.586078,12.172477,farthofergmbh.com,Commerce
AT,47.2790217,16.1715942,dasdellacher.at,Facility
AT,48.221321,16.3564436,iqoqi-vienna.at,Facility
AT,47.054094,10.6192313,apart-diana.at,Facility
AT,46.8239442,15.3174331,cafe-pizzeria-restaurant-edlinger.at,Facility
AT,47.3558793,11.7011639,ksk-logistik.com,Commerce
AT,46.985526,10.2284559,desiree-ischgl.at,Facility
AT,47.5807184,9.8086068,walderlebnispfad.at,Facility
AT,48.2298035,13.9189514,heilbornapo.at,Commerce
AT,48.1282768,16.2535223,reha-perchtoldsdorf.at,Facility
AT,47.0741395,15.4398871,berlinchen.at,Commerce
AT,48.1019719,13.137441,auto2rad-geigl.at,Commerce
AT,47.7205149,14.6317236,laussabauer.at,Facility
AT,48.1819426,13.6442125,sandberger.at,Facility
AT,48.0662918,15.0487865,pizzamanufaktur16.at,Facility
AT,47.5047831,15.4486285,foto-puntigam.at,Commerce
AT,48.2161607,16.3881799,physio-baillou.at,Facility
AT,48.884506,15.5144705,w4tischler.at,Unknown
AT,47.2546966,10.1081357,koerbersee.at,Facility
AT,47.2323926,10.293627,alpenhof-lorenz.at,Facility
AT,47.2744999,11.4418072,friseur-lisa.at,Facility
AT,47.3576594,9.6638119,vitaaktiva.at,Commerce
AT,47.0746353,15.5066594,ichwillbessersehen.at,Facility
AT,48.2755132,14.2875286,dr-schreiner.at,Facility
AT,47.0385814,15.4116146,autoankauf-oesterreich.at,Commerce
AT,47.7464863,13.066989,schlossapothekeanif.at,Commerce
AT,48.0481707,15.028595,fs-motorsport.at,Commerce
AT,46.9889532,10.2461224,chasa-altana.at,Facility
AT,48.6645089,15.6559776,friseur-burak.at,Facility
AT,47.7225291,16.0806361,fuchsundspatz.at,Commerce
AT,48.1935211,16.3638878,judithzila.at,Facility
AT,46.7218505,15.5179664,wein-pongratz.at,Facility
AT,46.6090024,14.1449516,pyramidenkogel.info,Facility
AT,47.4399285,12.7193356,salzburgerhof.eu,Facility
AT,48.3729396,15.345216,feuerwehr-muehldorf.at,Facility
AT,47.2679434,11.3909416,marktbar-studios.at,Facility
AT,48.2341888,16.1922392,ordination-grigorova.at,Facility
AT,48.4580436,16.5922769,tinarawpatisserie.com,Commerce
AT,48.2063113,15.6345493,help-gebaeudereinigung.at,Facility
AT,46.6272908,13.3689746,meckis-imbiss-hermagor.at,Facility
AT,47.2649084,11.398195,paninothek.at,Commerce
AT,48.2040427,16.3849621,ordination-bauer.at,Facility
AT,47.1677182,14.6612321,kosmetik-bassetti.at,Commerce
AT,48.09521,17.0645761,chocolate-austria.com,Commerce
AT,48.4353669,15.1144964,georgshaus.at,Facility
AT,47.4068564,12.903585,stablerkraemer.at,Facility
AT,47.5386521,15.98328,ffmariensee.at,Facility
AT,48.3329536,14.4608935,biohof-gratzer.at,Commerce
AT,47.2909256,9.6544005,biohof-breuss.at,Commerce
AT,47.0549062,12.2979201,essener-rostocker-huette.com,Facility
AT,47.5836971,16.4251648,gasthaus-fuchs.at,Facility
AT,47.2809513,16.005462,lechner-partner.at,Commerce
AT,48.4488387,15.6058077,gasthausbrauneis.at,Facility
AT,46.7246554,14.0955177,naturkost-duschlbaur.at,Facility
