country,lat,lon,website,place_type
AU,-32.8947762,151.6028568,maxijazzdancestudio.net,Facility
AU,-35.1999615,138.6187621,gemtreewines.com,Commerce
AU,-29.4449791,153.2670342,flypalmersisland.com,Facility
AU,-31.9776613,115.8141103,thetenthstate.com,Facility
AU,-37.8058923,144.9796828,varietyhourstudio.com,Commerce
AU,-37.80878,144.98458,angelatandori.com,Commerce
AU,-37.7975683,144.9695676,portableshops.com,Commerce
AU,-37.7556786,145.3535606,lilydaleatc.com,Facility
AU,-35.2625478,149.1447884,pilotrestaurant.com,Facility
AU,-38.1477027,144.3617106,generalpants.com,Commerce
AU,-37.8041028,144.8917151,gatherwomenspace.com,Facility
AU,-33.8342861,151.2090573,sydneyharbourhotel.com,Facility
AU,-37.8103062,144.8895605,tailormadeyarraville.com,Facility
AU,-35.7937318,150.2296811,batemansbaysurflifesavingclub.com,Facility
AU,-31.9274137,115.8530806,quantumbicycles.com,Commerce
AU,-37.8177079,145.1524171,maskachaska.au,Facility
AU,-33.798619,151.1788769,refcarealty.com,Commerce
AU,-38.467026,145.9483376,leongathacycling.com,Facility
AU,-29.0306886,167.9566589,saintsapartments.com,Facility
AU,-37.8069931,144.9922878,bonaccigroup.com,Commerce
AU,-33.5340092,145.5223922,hillstonsunfarm.com,Commerce
AU,-35.654459,137.6365324,kidragonfly.com,Facility
AU,-35.324473,149.179248,cantysbookshopfyshwick.com,Commerce
AU,-36.8897302,149.9108493,valentinamerimbula.com,Facility
AU,-12.3914033,130.8574153,mt8848cafe.com,Facility
AU,-37.8157693,144.96312,dodeepaidang.com,Facility
AU,-37.8119256,144.971771,themesshallmelbourne.com,Facility
AU,-37.8435435,144.744866,vnmtsolutions.com,Commerce
AU,-37.8246278,145.01112,silvsonkennedy.com,Facility
AU,-37.8508607,145.2810107,hardroadbrewing.com,Facility
AU,-35.2383966,149.0717746,soulutionyoga.com,Facility
AU,-34.3061538,150.0670241,wollondillyriverstation.com,Facility
AU,-27.9884326,153.3368153,goldcoastchiropractor.com,Facility
AU,-27.4321423,153.019758,fritzenberger.com,Facility
AU,-33.9033908,151.2090431,yumiaocatcafe.com,Facility
AU,-33.845448,121.9015333,esperanceseafront.com,Facility
AU,-33.83138,151.2076203,maristcollege.com,Facility
AU,-34.8022897,138.7180662,saqualitymeats.com,Commerce
AU,-27.6471058,153.3815542,bayislandsinfo.com,Commerce
AU,-27.4594727,152.998551,dirtychook.com,Commerce
AU,-35.4057802,149.1435383,rosecottagecanberra.com,Facility
AU,-33.8818944,151.2236562,yogibeings.com,Commerce
AU,-33.8889979,151.191325,verge-gallery.net,Facility
AU,-32.0527173,115.7692354,fremantlegolfcourse.com,Facility
AU,-32.3518579,148.6434641,outbackcellardubbo.com,Facility
AU,-25.9103471,144.5985408,adavaleveteransretreat.org,Facility
AU,-27.924174,153.4036468,goldcoastportraitphotography.com,Commerce
AU,-33.8875922,151.1952548,scarystrangers.com,Commerce
AU,-32.1081296,115.843427,freohockey.com,Facility
AU,-28.0990395,153.4591816,custardcanteen.com,Facility
AU,-30.5128731,151.6637598,creightonpt.com,Facility
AU,-34.9324472,138.5999398,nativetitlesa.org,Commerce
AU,-28.0079896,153.4006681,bigpartyoz.com,Commerce
AU,-37.7526374,145.0018674,fishonhigh.com,Facility
AU,-38.2672782,144.5266881,ogcommunitygarden.org,Facility
AU,-33.8687547,151.2202663,ganellenproperty.com,Commerce
AU,-35.3156064,150.4358799,woodstockchocolateco.com,Commerce
AU,-28.7733453,114.6086895,beachedbarrel.com,Facility
AU,-35.0012811,117.8627385,ibisstylesalbany.com,Facility
