country,lat,lon,website,place_type
BE,51.0545173,3.7233904,phosaigon-gent.be,Facility
BE,50.4171956,6.1125717,auxsaveursditalie.be,Facility
BE,51.3238215,4.5201317,mariaterheide.info,Facility
BE,50.9306159,5.3369307,hooghuis-hasselt.be,Facility
BE,49.8258143,5.0737009,letibouderefuge.be,Facility
BE,50.8420705,4.3686351,khunmaybrussels.com,Facility
BE,50.9285149,3.6606011,pittasnackgavere.be,Facility
BE,50.5590416,5.6377318,cape-white.com,Commerce
BE,50.7107485,4.6154506,rbassurances.be,Commerce
BE,51.1648463,4.1424015,theoldresto.be,Facility
BE,50.79206,5.2751114,johannietershuys.be,Facility
BE,51.0413473,3.7270732,dewereldvankina.be,Facility
BE,51.3970204,4.795291,apotheekswaenen.be,Commerce
BE,51.0108023,3.9000101,racingwetteren.be,Facility
BE,50.4503589,5.5668099,lerocherdelavierge.be,Facility
BE,50.4087344,4.2109444,dewildecombustibles.be,Commerce
BE,50.7649103,5.0351362,wonderwijsneerwinden.be,Facility
BE,50.7136524,4.2227264,tdagelijksgenot.be,Facility
BE,50.7972499,2.7487892,hetklassement.be,Facility
BE,50.9578876,3.981973,fietsengeertlede.be,Commerce
BE,50.9351244,4.0379211,tangspalace.be,Facility
BE,50.555582,5.4520071,houtesiplou.be,Commerce
BE,51.1348488,4.38945,adaartselaar.com,Commerce
BE,50.5718279,5.5356205,ddl-finances.be,Commerce
BE,50.6079465,3.3845019,hotelalcantara.be,Facility
BE,50.7981063,4.4176441,watermael-boitsfort.be,Facility
BE,50.8646081,3.1173174,bvbalauwers.be,Unknown
BE,51.0686745,3.749934,voetcenterpodologie.be,Facility
BE,51.2170069,4.4028877,sintlodewijkantwerpen.be,Facility
BE,50.9749835,4.887833,notarisboogaerts.net,Commerce
BE,50.6305782,3.7809831,hotelduparcath.com,Facility
BE,50.9080105,3.3742585,garagevanmelle.be,Commerce
BE,51.2159648,4.4191461,unitedpearl.com,Commerce
BE,51.0615731,4.8239368,vangoedenhuize.be,Facility
BE,50.9877891,5.1952912,kaarskesprocessie.be,Commerce
BE,50.947519,3.0989863,minidejonckheere.be,Commerce
BE,50.9960852,4.9205348,ezelboerderij.be,Commerce
BE,50.8985835,3.3841649,fruitlambrecht.be,Commerce
BE,51.1652516,4.6817617,bistrozoma.be,Facility
BE,50.9854554,3.8418575,dokterskwatrecht.be,Facility
BE,50.8955833,3.0668382,uitvaartzorg-geldhof.be,Commerce
BE,51.1020415,3.454425,rubbervloer.be,Commerce
BE,51.2970144,4.6944715,dreamteamjr.be,Commerce
BE,51.0772604,5.1547415,highdemandbrands.eu,Commerce
BE,51.3493078,4.8626926,carwashmerksplas.be,Commerce
BE,50.8712932,3.8101959,sushisakana.be,Facility
BE,50.8331198,2.9945616,deregenbooggeluveld.be,Facility
BE,50.6808111,4.3778284,librairielebaobab.com,Commerce
BE,50.9989415,5.0305914,praktijk49.be,Facility
BE,50.7979759,3.1304269,atypique-spa.com,Unknown
BE,51.1095886,5.0841475,k-kbetonwerken.be,Commerce
BE,50.5994692,3.6249019,cultureleuze.be,Facility
BE,50.8600517,4.3739931,hotel-bentley.com,Facility
BE,49.6194576,5.5837971,centrebuzenol.be,Facility
BE,50.8531182,2.7425252,worldkarts.com,Facility
BE,50.7445375,2.8217954,vbsnieuwkerke.be,Facility
BE,50.8207572,3.8527037,vdmpoorten.be,Commerce
BE,50.8216778,4.3966589,wetenschappelijkekring.be,Commerce
BE,51.2412817,5.4823617,saloon-rodeo.be,Facility
BE,50.9298591,5.3415672,boekhandelgrim.be,Commerce
BE,50.9427717,5.2990462,schakelschool.be,Facility
BE,50.9812132,4.2239195,vzwderoedel.be,Facility
BE,50.8850308,4.7180462,tsurusushi.be,Facility
BE,50.8766601,4.6828432,restauranttdagelijksbroodje.be,Facility
BE,51.3971327,4.7970569,van-calster.be,Unknown
BE,51.0317811,5.2786138,optimusvastgoed.be,Commerce
BE,51.0120695,3.6419439,sapporo-gent.be,Facility
BE,51.3615235,4.9674672,cozy-and-more.com,Commerce
BE,50.7145252,4.605369,planningwavre.be,Facility
BE,50.8787793,4.703607,huisvanhetkindleuven.be,Facility
BE,51.3129881,3.1158387,tegelsdelaere.be,Unknown
BE,50.4438863,3.9495439,ecolesndmessines.be,Facility
BE,51.2163415,4.4137773,the-final-touch.be,Commerce
BE,50.9953131,3.8806694,chirohermeline.be,Commerce
BE,50.9895031,4.7827846,healthyfoodtakeaway.be,Facility
BE,51.1555189,4.4454765,lune-lautre.com,Commerce
BE,51.0488565,4.0357994,huisartsenavermaat.be,Facility
BE,51.0372203,3.7117988,fewarestaurant.be,Facility
BE,50.1323691,5.7901872,brasserie-lerallye.be,Facility
BE,50.9201802,3.3356565,tmarmietje.com,Commerce
BE,51.1589813,3.1989675,destrooienhane.be,Facility
BE,50.8494614,4.3460691,atlas-hotel.be,Facility
BE,51.0478645,3.721714,curbskateshop.be,Unknown
BE,51.0728666,5.1537108,crowngeneral.be,Commerce
BE,51.0368656,3.7453756,debroederij.gent,Facility
BE,50.9839499,5.0452853,diestseturnkring.be,Unknown
BE,50.9493347,3.5770391,hoeve-slagerij.be,Commerce
BE,51.1386357,3.7321711,friethuisje.com,Facility
BE,50.9280111,3.0076764,hof-ter-roosebeke.be,Facility
BE,51.0179232,5.7420825,leefschooltalentenkiem.be,Facility
BE,50.7299618,4.0920987,wijnterlinden.be,Commerce
BE,50.0988837,4.9946458,healthyfactorycrossfit.com,Facility
BE,51.0380235,3.7485001,develowinkel.be,Commerce
BE,50.6350013,5.5623959,botaniqueliege.be,Unknown
BE,50.6209929,5.5737257,houseprint.be,Commerce
BE,50.8628073,5.196637,st-elisabethsdal.be,Facility
