country,lat,lon,website,place_type
CA,43.6133098,-79.562282,acurasherway.com,Commerce
CA,45.9750042,-61.1267364,thefarmersdaughtercountrymarket.ca,Commerce
CA,53.5226647,-113.4663299,institutguylacombe.ca,Unknown
CA,53.8136086,-101.2604027,halcrowlakegolf.com,Facility
CA,48.7789402,-123.6984399,buddiesnaturalpetfood.ca,Commerce
CA,43.657389,-79.4020809,beguilingbooksandart.com,Commerce
CA,43.6659781,-79.3875905,hairdistrict.ca,Facility
CA,49.7625765,-125.0413066,countryanimalhospital.ca,Commerce
CA,49.2655867,-122.9787358,whitelotuscafe.ca,Facility
CA,43.7105121,-79.3989103,fivepointsfamilyhealth.com,Facility
CA,48.4210431,-123.3713347,steamshipgrill.com,Facility
CA,45.4042956,-75.861184,nesbittsgreenhouse.ca,Commerce
CA,52.1230831,-106.667485,remaimodern.org,Facility
CA,50.1188204,-122.957173,mainstreetpoke.ca,Facility
CA,43.195296,-79.5641424,deutschedoner.ca,Facility
CA,51.1767139,-115.5712122,melissasmissteak.com,Facility
CA,45.1479038,-71.8061924,imprimerielarochelle.com,Commerce
CA,45.5191886,-73.5606229,denise-masse.ca,Facility
CA,44.501156,-80.217303,duncanscafe.ca,Facility
CA,44.1012201,-78.9379586,kristacraig.com,Unknown
CA,46.7634848,-71.3170999,sushisakura.ca,Facility
CA,43.675866,-79.3594516,ecolenapoleon.com,Facility
CA,49.2084792,-123.0810613,pjwhitehardwoods.com,Unknown
CA,45.5311303,-73.6078093,cafeodessa.ca,Facility
CA,49.6922188,-124.9983344,courtenaymuseum.ca,Facility
CA,56.2330992,-117.3267698,glenarmstrongconstruction.com,Commerce
CA,45.3754027,-75.7476345,theglassshop.ca,Unknown
CA,52.132173,-106.550339,waybackburgers.ca,Facility
CA,43.5477987,-80.2300828,guelph-unitarians.com,Facility
CA,49.8101475,-112.866339,bumbleberryhome.com,Commerce
CA,49.2636884,-123.107672,terrakendama.com,Unknown
CA,43.6536071,-79.4269842,number1sound.com,Commerce
CA,46.3912713,-63.7906713,holmancentre.com,Commerce
CA,46.2283459,-72.6157481,physiostfrancois.com,Facility
CA,49.0948974,-122.6548822,bowlineconstruction.ca,Commerce
CA,43.7698881,-80.0636085,kennedysflags.com,Commerce
CA,43.4418166,-80.5136696,cardieridental.ca,Facility
CA,49.2181024,-123.1754711,windsorstables.ca,Facility
CA,43.8261554,-79.2774964,gingerandonioncuisine.ca,Facility
CA,45.5410983,-73.5883506,montrealgongfu.com,Facility
CA,48.95317,-57.947388,cornerbrook.com,Facility
CA,49.8968208,-119.4882887,viceandvirtuebrewing.ca,Facility
CA,51.0531202,-114.0514808,lukesdrugmart.com,Commerce
CA,50.6764811,-120.3297729,underbellybythepig.ca,Facility
CA,49.1665305,-123.936793,flyingfishnanaimo.ca,Commerce
CA,53.8576806,-122.8140933,bonvoyageinn.ca,Facility
CA,45.6687194,-73.899969,assurancejones.com,Commerce
CA,45.4190241,-75.6882229,sttheresaottawa.com,Facility
CA,43.5496965,-79.5880738,lasergenesis.ca,Facility
