country,lat,lon,website,place_type
CH,47.3906937,9.2253849,hirschen-flawil-egg.ch,Facility
CH,46.1577168,8.9721842,moreengineering.ch,Commerce
CH,47.1214095,9.1174346,roemerturm.ch,Facility
CH,47.0805656,8.4402828,heimatmuseum.ch,Facility
CH,46.4262619,6.9314182,cliniquevalmont.ch,Unknown
CH,46.5170787,6.6356229,shanti-restaurant.ch,Facility
CH,46.9618248,8.3853725,lapergola-stans.ch,Facility
CH,47.3799058,8.5076216,scheiwiller.ag,Commerce
CH,45.836129,9.0108404,nortechsystem.ch,Commerce
CH,46.9476762,7.4597278,eiswerkstatt.ch,Commerce
CH,46.5327176,6.5771266,fabbricadellapizza.com,Facility
CH,47.2014994,9.3398705,drogerie-wildhaus.ch,Commerce
CH,47.251351,8.7677045,amri-immobilien.ch,Commerce
CH,47.478161,9.4923262,woerterspiel.ch,Commerce
CH,47.4941847,8.5017386,unterländerbräu.ch,Commerce
CH,47.5554832,8.8993254,haefelin-ag.ch,Commerce
CH,47.4168478,9.1716488,samariter-flawil.ch,Unknown
CH,47.3603851,8.5536988,parkhaus-feldegg.ch,Facility
CH,47.141859,7.2462612,velokurierbiel.ch,Unknown
CH,46.9579807,7.445612,brasserie-lorraine.ch,Facility
CH,47.3742607,8.539349,jules-verne.ch,Facility
CH,47.0442369,9.4401512,kantisargans.ch,Facility
CH,47.3508227,8.583188,bilderrahmen-rehalp.ch,Commerce
CH,46.5138873,6.5707702,abordage-restaurant.ch,Facility
CH,47.122578,7.9937064,boutiquewerkstatt.ch,Unknown
CH,47.4624072,9.3820343,wittenbach.ch,Facility
CH,46.2243653,7.2996567,literie-concept.ch,Commerce
CH,46.9415952,7.4311571,eigerbrasserie.ch,Facility
CH,47.2286405,8.8391689,restaurant-porthof.ch,Facility
CH,47.5546655,8.8961589,farfallina-kosmetik.ch,Facility
CH,47.3776218,8.5612081,tobias-haus.ch,Facility
CH,46.8057043,7.1593197,cabinetdecuriosites.ch,Commerce
CH,46.9464598,7.4369952,chraftruum.ch,Facility
CH,46.5129121,6.5421534,daphnetechnology.com,Commerce
CH,47.2601701,8.5982514,vogt-horgen.ch,Commerce
CH,47.358135,8.5478933,restaurant-kiosk.ch,Facility
CH,46.2029991,6.1347376,lajonquille.ch,Facility
CH,47.4419043,7.7311037,buechigarage.ch,Commerce
CH,46.7702979,9.0675604,pradassport.ch,Commerce
CH,47.5285097,7.9980451,foehrengarten.ch,Facility
CH,46.6084792,6.5264973,fondation-lavenoge.ch,Facility
CH,47.5276729,8.9220019,hundeschule-sitz.ch,Unknown
CH,47.5982712,9.1199258,landtechnik.ch,Commerce
CH,47.3496243,8.3456521,gesundheitshaus-reusstal.ch,Facility
CH,47.1077753,6.8057364,lafermedusommetdepouillerel.ch,Facility
CH,47.1362577,7.2427963,restaurant-diligence.com,Facility
CH,47.2274228,8.8199776,stadtbibliothek-rj.ch,Facility
CH,47.1207883,8.3494304,tlf-club-inwil.ch,Facility
CH,46.7427482,7.2879898,elternverein-plaffeien.ch,Facility
CH,46.4777757,6.4278226,lesateliersdelacote.ch,Facility
CH,47.1367924,8.7424256,vonburg-gmbh.ch,Commerce
CH,47.4871063,8.4465267,nufa-steinmaur.ch,Commerce
CH,46.7871925,7.8225125,mosimann-schreinerei.ch,Facility
CH,46.5095616,6.6606063,poli-real-estate.ch,Commerce
CH,47.3545311,8.5560474,miracleseefeld.ch,Facility
CH,47.5730557,7.6819847,chrischona-campus.ch,Facility
CH,46.9626335,7.451856,bernerpizzahuus.ch,Facility
CH,46.9365031,7.4761279,kraut-architekten.ch,Commerce
CH,46.5213119,6.6391969,baiesderelle.com,Commerce
CH,46.461968,7.5148746,adelboden-lenk.ch,Facility
CH,47.3873713,8.4931296,thecoconut.ch,Facility
CH,47.4065916,8.4487269,piz-digital.com,Commerce
CH,46.8113357,6.8140422,tir-font-chatillon.ch,Facility
CH,46.5073297,6.6271873,bazarouchy.com,Commerce
CH,46.6242047,8.0411305,mount-cushion.ch,Unknown
CH,46.9454205,7.3909547,luethioptik.com,Commerce
CH,47.2614425,7.002521,cheztoinette.ch,Facility
CH,46.9380466,9.5665959,bikeshopzizers.ch,Commerce
CH,47.4462067,8.6455148,kita-luftballon.ch,Facility
CH,46.9455428,7.4367477,ifsc-climbing.org,Commerce
CH,47.2190404,8.4671392,massagepraxismiller.ch,Facility
CH,47.1168981,7.2570813,kita-zwaergenaescht.ch,Facility
CH,47.2984383,9.091316,i-due-fratelli.ch,Facility
CH,47.5714563,7.6648368,baslerhof-bettingen.ch,Facility
CH,46.8149356,7.3274815,pfadi-schwarzenburg.ch,Unknown
CH,47.1958642,8.5224739,phoenix-bike.ch,Commerce
CH,46.2114857,6.1261186,ambiance-restaurant.ch,Facility
CH,47.381653,8.536438,markmueller.ch,Facility
CH,47.5067272,7.5294132,stall-luedi.com,Commerce
CH,47.2448504,7.9590628,lerchenhof.org,Facility
CH,47.4676605,9.0287206,hotelvonrotz.ch,Facility
CH,47.3928017,8.0461139,gynpraxis-graben.ch,Facility
CH,47.4211975,8.5060855,immo-steiner.ch,Commerce
CH,47.3764583,8.5205059,holzlager-bnb.ch,Facility
CH,47.4469984,8.6072332,waltermeier.solutions,Commerce
CH,46.9262527,6.6342371,val-de-travers.ch,Facility
CH,47.1883387,7.7029522,leist-optik.ch,Commerce
CH,46.2221203,7.3755129,airdemontagne.ch,Commerce
