country,lat,lon,website,place_type
CZ,48.8090015,14.3136616,hostelpostel.cz,Facility
CZ,49.7050989,16.889477,hrad-bouzov.cz,Facility
CZ,50.156785,15.2721093,hradcany-obec.cz,Facility
CZ,50.1044156,13.7325704,infocentrum-rakovnik.cz,Facility
CZ,49.1355722,17.4888776,autobazarspytihnev.cz,Commerce
CZ,50.729163,15.4494815,hotelkrakonos.cz,Facility
CZ,49.230216,16.6489743,magistrtom.cz,Commerce
CZ,50.3705808,17.184372,modryjelen.cz,Facility
CZ,50.7247728,13.7644481,hotelpomezi.cz,Facility
CZ,49.79213,14.832465,rozhlednaspulka.cz,Facility
CZ,49.2921566,16.7571261,penzionkrtiny.cz,Facility
CZ,49.964583,14.0739518,restaurace-alena.cz,Facility
CZ,50.0742047,14.4164717,terapieprorodinu.cz,Facility
CZ,50.0030234,13.9993778,zastavkanizbor.cz,Facility
CZ,48.90182,16.1916912,prosimerice.cz,Facility
CZ,49.45528,17.4602018,lingua-centrum.cz,Facility
CZ,50.0548435,14.4314849,nadvoustovce.cz,Facility
CZ,50.0491754,14.4162587,basisprague.cz,Facility
CZ,50.0934433,14.4503749,kadernictvi-karlin.cz,Facility
CZ,49.2422808,16.8729591,statekolsany.cz,Facility
CZ,48.6437497,14.2211785,stodolalipno.cz,Facility
CZ,48.9845802,16.4042005,embetechnik.cz,Commerce
CZ,50.1328849,14.2201938,obec-beloky.cz,Facility
CZ,49.0055324,14.7744008,hoteltrebon.eu,Facility
CZ,49.431123,15.2213067,reklamkape.cz,Commerce
CZ,50.2377295,15.8653672,sramkuvstatek.cz,Facility
CZ,48.6207076,14.2589541,tslipenska.cz,Unknown
CZ,50.1138583,14.4714249,matracezahubicku.cz,Commerce
CZ,50.4093115,12.9254847,hotel-zelenydum.cz,Facility
CZ,49.4957144,16.6458438,allegro-software.cz,Commerce
CZ,49.4859017,15.719222,pivovarpolna.cz,Facility
CZ,49.5215254,18.2364638,penzionkutil.cz,Facility
CZ,49.5360129,18.0590435,obec-morkov.cz,Facility
CZ,50.1507352,16.0641907,pujcovnalodiorlice.cz,Facility
CZ,50.1098024,14.456822,kavaprodej.cz,Facility
CZ,50.1049044,14.4501167,mojelekarna.cz,Commerce
CZ,50.7984036,14.4146916,pivovarkamenice.cz,Facility
CZ,49.8957103,14.4959002,pilajilove.cz,Commerce
CZ,49.5790975,17.4609564,farmarska-basta.cz,Facility
CZ,49.2469047,16.6729781,knihovnabilovice.cz,Facility
CZ,50.0465482,15.7615405,zuspardubice.cz,Facility
CZ,50.0916765,14.441284,hotelmucha.cz,Facility
CZ,50.5598883,15.2101245,karlovice-sedmihorky.cz,Facility
CZ,50.6774101,15.832092,penzion-zvonicka.cz,Facility
CZ,50.7014055,15.4317436,elvis-elektro.cz,Commerce
CZ,48.9813021,14.4561593,barevne-fasady.cz,Unknown
CZ,50.4450386,15.7407284,hobby-dum-zahrada.cz,Commerce
CZ,50.4449114,14.0599207,dvoreccerniv.cz,Facility
