country,lat,lon,website,place_type
DK,54.9438846,9.3702823,sbskliplev.dk,Commerce
DK,55.0094022,11.907486,cafeeinstein.dk,Facility
DK,55.9289112,12.2941427,9-ni-sushi3400.dk,Facility
DK,55.52538,8.4565382,tjautomobiler.dk,Commerce
DK,55.6584872,12.4089293,helsehylden.dk,Unknown
DK,55.8341135,10.5914722,samsoemuseum.dk,Facility
DK,55.5017556,9.0240429,trikateknik.dk,Commerce
DK,55.9559217,11.4221817,oernbergvin.dk,Commerce
DK,55.3309748,8.7699563,kliniklindberg.dk,Facility
DK,56.4079073,8.3132268,lokkesauto.dk,Commerce
DK,56.1551103,10.210603,hotelferdinand.dk,Facility
DK,55.8750948,12.3462666,bos-autoservice.dk,Commerce
DK,54.9535863,9.9090288,sonderborggolfklub.dk,Facility
DK,56.5555752,9.4115764,skals-efterskole.dk,Facility
DK,56.9727615,9.6238631,nibecamping.dk,Facility
DK,55.6722377,12.5478943,pragcopenhagen.com,Commerce
DK,55.3978132,10.3885658,dynastybuffet.dk,Facility
DK,56.9786003,9.6484813,ungaalborg.dk,Facility
DK,55.213416,11.1960469,agersoe-camping.dk,Facility
DK,55.749358,12.317797,thaigadekoekken.dk,Commerce
DK,55.3948428,10.3833767,wintherskaffe.dk,Facility
DK,55.6955951,8.9966125,cutandcolour.dk,Facility
DK,55.6155442,12.6132113,autoskadestuen.dk,Commerce
DK,55.5007118,9.4562113,skovsbagerier.dk,Commerce
DK,55.3800639,10.5624908,birkendeforsamlingshus.dk,Facility
DK,56.116388,10.20852,vinpusheren.dk,Commerce
DK,56.188174,9.577951,laublomster.dk,Commerce
DK,55.2504252,9.4490384,haderslevgolfklub.dk,Facility
DK,55.9540894,11.8520907,hundestedroklub.dk,Facility
DK,56.6979464,9.4910757,boll-biler.dk,Commerce
DK,55.6211897,8.2930101,pansermuseet.dk,Facility
DK,56.135326,8.97337,huset-herning.dk,Facility
DK,55.5089372,10.2973202,visitnordfyn.com,Facility
DK,56.4623772,10.8670244,voldbyforsamlingshus.dk,Facility
DK,55.5957323,12.1788036,madmedmere-tune.dk,Commerce
DK,55.7264754,12.5616689,dansktennisclub.dk,Unknown
DK,55.6593213,12.5175389,valbylaege.dk,Facility
DK,55.4443206,12.1634402,koegescenen.dk,Facility
DK,55.773792,12.493289,havne-hytten.dk,Commerce
DK,55.646815,11.909519,xn--bomgrden-d0a.dk,Commerce
DK,55.8400712,12.0640934,restaurantregnbuen.dk,Facility
DK,55.4409161,8.9993938,kongeaakroen.dk,Facility
DK,55.6913832,12.4813061,giantstore-andreas-lund.dk,Commerce
DK,56.9728296,9.8512988,svenstrupfysioterapi.dk,Facility
DK,57.029756,9.907988,takeawayfinder.dk,Facility
DK,55.6807141,12.5883495,nyhavnsfaergekro.dk,Facility
DK,54.7795836,11.8827831,frimannbiler.dk,Commerce
DK,56.794502,8.8785434,xn--nykbingmors-roklub-i4b.dk,Facility
DK,57.494781,9.989336,hjoerringgolfcafe.dk,Facility
DK,56.0666649,12.2816325,gribskovarkiv.dk,Facility
DK,55.397198,10.381146,subsonline.dk,Facility
DK,55.6254098,8.4621446,vardebilvask.dk,Commerce
DK,55.4723337,8.4272893,seafarerhelp.org,Facility
DK,56.4911514,8.5898435,apollon-struer.dk,Facility
DK,55.8657304,9.8388451,microsolutions.dk,Commerce
DK,57.2144793,10.4902089,knudsohane.dk,Facility
DK,56.1586076,10.2001513,hermansen-cykler.dk,Commerce
DK,56.1682421,9.5474074,woodysandfriends.dk,Facility
DK,55.6750702,12.5836662,justitsministeriet.dk,Facility
DK,55.0881911,10.368822,boegebjerg-if.dk,Facility
DK,57.3844418,10.1089793,taarshallen.dk,Facility
DK,56.1064264,10.1548448,xn--dengrnneasparges-pxb.dk,Commerce
DK,55.697821,12.5433296,fixmacbook.dk,Commerce
DK,55.393,10.396548,goldendoner.dk,Facility
DK,56.5689918,8.4275529,noerrenissum.dk,Facility
DK,55.9148209,10.0509874,hundslundsbutik.dk,Commerce
DK,55.85777,9.840263,princesshorsens.dk,Facility
DK,56.9391063,8.648623,dyrlaegegruppenthy.dk,Commerce
DK,57.0148049,9.9243711,scandihills.dk,Commerce
DK,56.1653762,10.202904,stenomuseet.dk,Facility
DK,55.9859928,9.2858404,ejstrupholmhallen.dk,Facility
DK,55.6789378,12.5198868,diakonissestiftelsen.dk,Commerce
DK,56.159481,10.204124,italianissimo.dk,Facility
DK,55.666636,12.610877,oeensspisested.dk,Facility
DK,55.2541642,11.296068,madentreprenoeren.dk,Commerce
DK,54.81194,11.017913,langoeforsamlingshus.dk,Facility
DK,57.4254031,10.4727643,frh-kirkegaarde.dk,Facility
DK,56.1593298,10.2043499,knittingforolive.dk,Commerce
DK,56.357586,9.2961518,automester.dk,Commerce
DK,57.4070289,10.0184316,kornetshus.dk,Facility
DK,57.0434479,8.4816023,klitmollerrogeri.dk,Facility
DK,55.9574579,8.4870931,skjernauto.dk,Commerce
DK,56.1117823,8.9708771,staalogmontage.dk,Commerce
DK,55.0956507,8.5446592,romobageri.dk,Commerce
DK,56.622832,8.881781,nc-nielsen.dk,Commerce
DK,55.6898393,12.5559152,paradisonoerrebro.dk,Facility
DK,56.459728,10.039852,appetitpizza.dk,Facility
DK,56.3610396,10.5847138,midtdjursmaleren.dk,Commerce
DK,55.6940572,12.5495538,sallingcoptik.dk,Commerce
DK,55.681277,12.586344,sovinobrands.dk,Facility
DK,55.1361429,15.1405676,svanekebryghus.dk,Facility
DK,57.4461503,10.5091567,livingbyvanja.dk,Commerce
DK,54.88237,9.728757,dri-institut.com,Facility
DK,55.6800374,12.5748724,farfarbodega.dk,Facility
DK,56.0250391,12.5767091,xn--croshelsingr-5jb.dk,Facility
DK,56.473428,10.007385,madvaerksted.dk,Facility
DK,56.9690352,9.2507195,havneatelier.dk,Commerce
DK,55.9262406,12.3126801,smileyfitness.dk,Facility
DK,55.5832072,8.6068163,elektrikerloesningen.dk,Unknown
DK,56.2408884,10.2278516,elsted-lystrup-beboerhus.dk,Facility
DK,55.6822868,12.5896896,arbejdsretten.dk,Facility
DK,55.7583818,10.278576,louisespensionat.dk,Facility
DK,55.5921452,12.3570271,strandparken-kbh.dk,Facility
DK,56.0819603,10.0153656,michaelsmadogvin.dk,Commerce
DK,56.467984,9.973496,rosengaardens-gaardbutik.dk,Commerce
DK,56.300624,10.476858,restauranttullio.dk,Facility
DK,56.2516297,10.0703333,acmalerfirma.dk,Unknown
DK,56.904894,10.034819,lindenborg.dk,Commerce
DK,56.1650292,10.2068901,underpavillonen.dk,Commerce
DK,56.4580525,10.0382075,cafekonrad.dk,Facility
DK,56.1540155,10.1821001,jensencykler.com,Commerce
DK,57.0178935,9.8967268,surfogskiaalborg.dk,Commerce
DK,57.4924594,10.4980067,strandby-metodistkirke.dk,Facility
DK,55.0608048,10.3791337,fjellebroenhavn.dk,Facility
DK,56.3732464,8.1260262,thorsminderoning.dk,Facility
DK,55.6848411,12.5401874,solbjergklinik.dk,Facility
DK,56.4986528,9.7524829,tjeleefterskole.dk,Unknown
DK,55.3935712,10.378821,nemtakeaway.dk,Facility
DK,55.6672775,12.6103363,pelicanselfstorage.dk,Commerce
DK,56.2355905,9.888413,voldbygrillen.dk,Facility
DK,56.0594022,12.0719829,restaurantvonedel.dk,Facility
DK,55.8729832,9.8350883,horsensfreja.dk,Facility
DK,55.4732215,8.4506664,esbjergvinbutik.dk,Commerce
DK,55.720897,9.560094,kaanspizza.dk,Facility
DK,56.5315187,9.5729553,vammenkirke.dk,Facility
DK,56.806728,8.406799,bedsted-thy.dk,Facility
DK,55.7763494,12.5866652,cranksandcoffee.dk,Facility
DK,55.7063206,12.5829119,clausenssandwichogjuice.dk,Facility
DK,56.405345,10.1112247,designhojskolen.dk,Facility
DK,55.7019666,12.5326154,zimmeroptik.dk,Unknown
DK,56.4614482,10.0335639,sandwichshoppen.dk,Facility
DK,57.0418005,9.9044631,aalborgtaarnet.dk,Facility
DK,55.376254,10.387913,hong-klinik.dk,Facility
DK,56.1536948,10.2189596,aarhuscrossfit.dk,Facility
DK,55.1893585,9.0745793,dk-udlejning.dk,Commerce
DK,56.017065,12.131113,ramloseforsamlingshus.dk,Facility
DK,55.6765358,11.0725024,kalundborgroklub.dk,Facility
DK,55.7177,12.5883432,cafesundet.dk,Facility
DK,55.4506369,10.6590098,carlorestaurant.dk,Facility
DK,55.636533,12.075538,thai-marked.dk,Unknown
DK,55.8063351,11.9811633,lyngerup-pizza.dk,Facility
DK,56.1401436,10.1112776,nordicreef.eu,Commerce
DK,55.9875936,8.6912495,lauge-bonde.dk,Unknown
DK,55.8377414,12.3168347,goshcopenhagen.com,Commerce
DK,56.065184,12.553921,xn--cafeenphammermllen-bub10b.dk,Facility
DK,57.0456789,9.9305931,gladcyklen.dk,Commerce
DK,55.6626609,12.5832331,ibbadminton.dk,Facility
DK,55.6146654,12.5746631,traktoerstedetvestamager.dk,Facility
DK,55.075028,10.62428,finka-gavekurve.dk,Facility
DK,55.7266193,12.572197,lundevangen.dk,Commerce
DK,57.022324,8.677029,grillslagteren.dk,Commerce
DK,57.364548,9.87389,vendsysselvin.dk,Unknown
DK,56.1590354,10.206703,stillerscoffee.dk,Facility
DK,55.7504807,12.4357841,visitdenmark.de,Facility
DK,56.1482178,10.2002914,marianneroegild.dk,Commerce
DK,56.615599,8.175063,cliniclodahl.dk,Facility
DK,55.4768613,8.4611308,jespersgardiner.dk,Unknown
DK,55.1782416,11.8700919,fladsaahallen.dk,Facility
DK,56.5690723,9.0267773,amore-pizza.dk,Facility
DK,55.5293765,8.4023502,raabyrevision.dk,Commerce
DK,56.1480659,10.2033354,dermalogica-aarhus.dk,Facility
DK,55.9695319,11.849678,skansenbnb.dk,Facility
DK,55.9350889,12.3007903,frederiksborg-slotskirke.dk,Facility
DK,55.601142,8.802566,xn--agerbkpizza-e9a.dk,Facility
DK,55.839183,12.063588,changsheng-3600.dk,Facility
DK,56.2234362,9.6679135,svostrup-kro.dk,Facility
DK,56.7174586,10.115428,xn--helleskkken-mgb.dk,Commerce
DK,56.162083,8.923074,luxusrestaurant.dk,Facility
DK,55.6747822,12.5786288,teatermuseet.dk,Facility
DK,54.9780474,12.272907,thorsvangsamlermuseum.dk,Facility
DK,55.6740468,12.5525363,letzonline.dk,Facility
DK,55.848685,8.2808262,borkhavnlys.dk,Facility
DK,55.4828537,8.9114615,auto-holsted.dk,Commerce
DK,56.1482988,10.1970181,tasteofpunjab.dk,Facility
DK,55.6679147,12.5563801,fermentoren.com,Facility
DK,55.602297,9.6607976,koldingkokken.dk,Facility
DK,55.6609392,12.5761877,krudt-uglen.dk,Unknown
DK,56.190629,9.4217384,urbakgaard.dk,Commerce
DK,56.1553736,10.2199925,chiliklaus.dk,Commerce
DK,55.2068215,10.809057,revsoerestrandcamping.dk,Facility
DK,57.7235767,10.589884,bikes4sale.dk,Commerce
DK,55.7032814,12.5384858,noerrebrobycenter.dk,Commerce
DK,55.671211,12.5496708,ancestrale.dk,Facility
DK,56.1416206,9.2903167,nettraelasten.dk,Commerce
DK,55.9627456,11.849403,tvergaard-biler.dk,Commerce
DK,57.04623,9.9326518,biffen-aalborg.dk,Facility
DK,56.3584921,8.619923,restaurant-cooks.dk,Facility
DK,55.3504747,10.1835397,cognachuset.dk,Commerce
DK,55.7358143,9.0890754,billundsportsrideklub.dk,Facility
DK,55.7319606,12.469699,weibel-inst.dk,Unknown
DK,56.462284,10.034988,restaurantdetgamleapothek.dk,Facility
DK,55.7599187,12.5705041,ordrupspizza.dk,Facility
DK,55.6780366,12.0703533,roskildekajakklub.dk,Facility
DK,55.570683,9.7377984,madsbykiosken.dk,Unknown
DK,55.4776398,8.4870542,boulderhulen.dk,Facility
DK,55.4795834,9.1392097,cspølsemageri.dk,Commerce
DK,56.1695163,9.5489916,kaereboern.dk,Commerce
DK,55.8711033,9.819288,kystens-perle.dk,Facility
DK,55.6871404,12.5588847,phantom-spirits.com,Commerce
DK,56.3967786,10.7136098,grenaa-sportsfiskerforening.dk,Facility
DK,57.0452859,9.9235637,fodterapi-aalborgc.dk,Facility
DK,55.3295749,11.759096,detlillehuspaalandet.net,Commerce
DK,55.6684493,11.410436,jyderupsvømmehal.dk,Facility
DK,55.571994,12.002783,kjaers-kager.dk,Commerce
DK,55.68485,12.50118,teppanhouse.dk,Facility
DK,54.8821141,10.411266,villablomberg.dk,Facility
DK,56.3524964,8.6421897,holstebroroklub.dk,Facility
DK,55.6518127,12.5380123,palermopizzeria.dk,Facility
DK,56.1514753,10.6884896,marinaguide.dk,Facility
DK,55.6762333,12.5660407,formelfamily.dk,Facility
DK,55.6633635,12.6354002,fribytterne.dk,Facility
DK,55.559635,8.82497,hotel-glejbjerg.dk,Facility
DK,55.2484083,9.5324553,starupkirke.dk,Facility
DK,55.6680213,12.5972297,etiketpaper.com,Commerce
DK,56.199367,9.5925415,billigecykler.dk,Commerce
DK,57.5902235,9.9551757,groenfeldt.nu,Commerce
DK,55.6617289,12.5979076,restaurantmenuen.dk,Facility
DK,55.5062779,8.4109369,ellenkosmetolog.dk,Facility
DK,56.0453237,10.0864147,laegerneisolbjerg.dk,Facility
DK,55.0627717,10.6129662,sktknud-svendborg.dk,Facility
DK,55.870618,12.3552503,skjoldburne-allerod.dk,Commerce
DK,55.8379109,12.2763774,vintage-vinimport.dk,Commerce
DK,55.3252866,8.7865741,flassan-vin.dk,Commerce
DK,55.1396467,15.1433553,roegerietsvaneke.dk,Facility
DK,55.3951087,10.5176055,marslevgif.dk,Facility
DK,55.0680597,14.9213394,aakirkebyhallerne.dk,Facility
DK,55.7343163,12.4212702,terrassenlindehoej.dk,Facility
DK,55.28251,10.69067,refsvindingeauto.dk,Commerce
DK,56.0421424,10.0841597,solbjerg-if.dk,Facility
DK,55.7495431,12.5861617,cafebomhuset.dk,Facility
