country,lat,lon,website,place_type
ES,40.4160283,-3.7059463,puradelicia.com,Commerce
ES,42.599432,-5.5677451,sierrapambley.org,Facility
ES,36.7485479,-3.170117,pizzeriapapaute.com,Facility
ES,40.486635,-3.667292,esteroides-teide.com,Commerce
ES,39.6827041,-0.473424,cartujadeportacoeli.org,Facility
ES,42.7806705,-8.4289721,mueblesulla.es,Commerce
ES,36.6015244,-4.5478134,spainhomes.com,Commerce
ES,40.4128842,-3.7083007,tabernadelcapitanalatriste.com,Facility
ES,39.4672598,-0.3255048,glasolheladerias.com,Facility
ES,40.407939,-4.5745237,campingvalledeiruelas.com,Facility
ES,39.4762114,-0.3609479,colegioaula3.es,Facility
ES,36.7433434,-3.5167594,activamotril.com,Commerce
ES,40.9467484,-4.1037678,abracadabraenglish.net,Facility
ES,39.7179112,-3.3198433,skydivemadrid.es,Unknown
ES,41.58095,1.6169434,teatreaurora.cat,Facility
ES,39.5579288,-2.6968971,castillodebelmonte.com,Facility
ES,39.5779845,2.6340119,cvsanfernando.com,Commerce
ES,38.8870966,-0.0797196,restaurantefontsalada.com,Facility
ES,42.4541956,-6.0529637,aytoastorga.es,Facility
ES,41.3389948,-4.428487,laposadadecarmen.es,Facility
ES,40.3925367,-3.7021994,clinicario.es,Facility
ES,41.4528534,2.229652,farmaciacondon.com,Commerce
ES,41.2229733,1.7271809,jordimorerabaker.com,Commerce
ES,42.4963111,-1.2151893,rutadeltiempo.es,Facility
ES,41.8457559,-4.9062484,fuenteungrillo.es,Facility
ES,42.8093018,-1.6576466,mcpeluqueros.es,Facility
ES,41.3976319,2.164883,craftpizzadiagonal.cat,Facility
ES,41.7793216,1.9442074,elforndelacalc.cat,Facility
ES,39.712297,3.459447,amigobikes.com,Commerce
ES,42.8671595,-2.6544678,celsaatlantic.com,Commerce
ES,36.7394567,-3.6688309,hostalvelilla.com,Facility
ES,28.3928553,-16.5268312,tascalacanada.com,Facility
ES,36.8573043,-2.4284915,serreriaalmeriense.com,Commerce
ES,43.3523273,-8.4130992,mesonsobrado.es,Facility
ES,39.9745255,0.0174441,lamarinarestaurante.com,Facility
ES,41.6026553,0.641378,grupgevadri.com,Commerce
ES,41.6175419,0.6217121,cambridgelleida.com,Commerce
ES,36.7485229,-3.0137335,group-team.com,Commerce
ES,43.4519797,-3.8338839,probox-santander.com,Facility
ES,40.715046,-4.1904796,asadorlavina.es,Facility
ES,36.86103,-2.4347556,torrecardenas.com,Commerce
ES,40.3116548,-3.8784131,lamalteriahfltaproom.com,Facility
ES,39.2821079,-0.423528,asesoria-cepal.com,Unknown
ES,43.4686509,-5.4672499,loscaserinos.com,Commerce
ES,36.7902968,-5.1410875,elmuelle-arriate.com,Facility
ES,37.8190523,-0.760657,salineraespanola.com,Commerce
ES,42.2644221,3.1749756,hotelcarmen.es,Facility
ES,43.3585455,-5.8488215,clinicasantasusana.com,Facility
ES,40.4289169,-3.6927726,makingthings.es,Commerce
ES,41.4005969,2.1603644,restaurantesalero.com,Facility
ES,40.3605142,-3.6646574,hotelmercader.com,Facility
ES,41.621989,0.6259089,esmatgesperiodoncia.com,Facility
ES,39.7670985,2.7140194,gelatsoller.com,Commerce
ES,40.8070377,0.3375578,refugicaro.com,Facility
ES,40.4187902,-2.9202962,hotelmayno.es,Facility
ES,39.5127827,2.4778423,playasdelrey.com,Facility
ES,38.9954089,-1.8566635,elmundodelvaper.com,Commerce
