country,lat,lon,website,place_type
FI,65.1842736,25.3656217,haukiputaanheitto.fi,Facility
FI,62.6238391,22.4038131,autohuoltomakela.fi,Facility
FI,60.1904763,24.973944,siemenliikesiren.fi,Commerce
FI,60.1634079,24.9332074,aleksanterinteatteri.fi,Facility
FI,68.3856782,23.6425144,korulaakso.com,Facility
FI,60.2503115,25.0130591,ravintolamakalu.fi,Facility
FI,60.2002644,24.5958879,michaelsgarage.fi,Commerce
FI,62.6268008,29.7971435,elektroshemeikka.com,Commerce
FI,62.3016408,27.1532035,pieksamakiseura.fi,Facility
FI,62.2397544,25.7326852,fysiokirsikka.fi,Facility
FI,66.0134018,29.0007411,ruskalaukka.fi,Facility
FI,63.6851341,25.9747694,pyhajarvenhelluntaiseurakunta.fi,Facility
FI,60.2464887,24.8612058,willihanhi.fi,Facility
FI,63.0660339,28.3285166,likilounas.fi,Commerce
FI,60.1306337,19.9336101,clasohlson.ax,Commerce
FI,60.4506592,22.259518,mikkominna.fi,Facility
FI,60.4520192,22.3024687,bouldertehdas.fi,Facility
FI,68.3845968,23.6094511,hetanlomakyla.fi,Facility
FI,62.5395433,24.1473416,hiusihanuus.fi,Facility
FI,60.2161035,24.9850075,koskenranta.net,Facility
FI,63.343936,22.5633411,tonttumuseo.fi,Facility
FI,61.3492882,22.892478,tyrvaansahkotyo.fi,Unknown
FI,60.3777978,25.2821643,soderblompuutarha.com,Commerce
FI,62.6277215,29.7512343,katsastuskovalainen.fi,Commerce
FI,64.1268838,29.5258296,kuhmonpizzeria.fi,Facility
FI,60.1514321,24.9471605,helsinkisailing.com,Facility
FI,65.0012078,25.4683257,huovisenleipomo.fi,Commerce
FI,63.5481815,23.6953519,kaustisenhelluntaiseurakunta.com,Facility
FI,64.244744,24.8107932,wanhawoima.fi,Facility
FI,61.2217499,25.775689,suomenmuinaistaideseura.fi,Facility
FI,62.5820327,22.7487515,luopajarvensaha.fi,Commerce
FI,60.4481851,22.2712536,televisioon.fi,Commerce
FI,65.0117239,25.4687423,kauppakorttelipekuri.fi,Commerce
FI,62.9797859,27.732017,puijonromu.fi,Commerce
FI,60.5205754,26.9282075,karhulanhelluntaisrk.fi,Facility
FI,61.3393637,24.2695352,palkaneenkatukappeli.fi,Facility
FI,60.9911981,25.4786521,jalkahoitoa.fi,Facility
FI,60.1597151,24.9464381,kaivopuistonapteekki.fi,Commerce
FI,60.1978531,24.9289271,ardenrestaurants.fi,Facility
FI,62.9690935,23.0053074,hantulankukka.fi,Commerce
FI,60.6246503,21.9066721,mietoistenvpk.fi,Facility
FI,60.2248023,24.9064016,toimistoristikko.fi,Commerce
FI,64.3526967,26.2883736,siikalatva.fi,Facility
FI,60.79209,21.1431956,visituusikaupunki.fi,Facility
FI,60.1927978,24.9542426,hasanpartners.fi,Commerce
FI,60.4639459,26.9327446,cleanshieldgroup.com,Commerce
FI,62.900058,29.4049634,koskipirtti.com,Unknown
FI,60.8816314,21.6962653,laakaripalvelut.fi,Facility
FI,63.1784124,26.3352111,keiteleenhelluntaiseurakunta.fi,Facility
