country,lat,lon,website,place_type
FR,50.9863671,1.9694904,campingplage62.fr,Facility
FR,48.8509059,2.3484845,comptoirdesserruriers.fr,Commerce
FR,48.858348,2.3757089,crossfitoriginaladdicts.com,Facility
FR,48.433676,-4.6184386,spadium-saint-renan.fr,Facility
FR,47.3244851,5.0386061,sublimerestaurant.net,Facility
FR,49.2775666,-1.5401703,cuisines-habitat.fr,Commerce
FR,47.4668349,-0.554963,assomargueritedanjou.com,Facility
FR,46.8489356,6.3842504,notrechalet.fr,Facility
FR,43.3672413,3.2547578,polyclinique-saintprivat.fr,Facility
FR,43.4277096,1.3547368,optique-eaunes.fr,Commerce
FR,48.0340257,-3.4881883,cinemaelle.org,Facility
FR,43.5674441,-0.0760989,fauconnerie-marche.fr,Facility
FR,48.6473203,-2.0266575,ladistilleriedesaintmalo.com,Commerce
FR,48.8564898,2.3833674,hotelmontlouis.com,Facility
FR,43.6014179,1.4407442,boutique-langelique.fr,Facility
FR,48.8495206,2.3629997,latlasparis.com,Facility
FR,45.746235,4.0033874,aucomptoirduchocolat.fr,Commerce
FR,47.5629035,-1.626332,les3marchands.fr,Facility
FR,48.6338993,-1.8653008,huitres-cancale.fr,Commerce
FR,44.8325097,-0.5728795,nobinobi-streetfood.com,Facility
FR,48.2886486,4.0826231,passion-paysanne.fr,Commerce
FR,49.1819921,-0.3687427,lesfruitleux.fr,Commerce
FR,44.4868462,4.1532578,terracabra.com,Facility
FR,43.9097904,5.912706,residencelestilleuls.fr,Facility
FR,45.4400871,4.4075737,lateliercail.fr,Facility
FR,43.8581334,5.072957,latour-verdier.fr,Commerce
FR,48.829981,2.3532326,les-ingeniaux.com,Unknown
FR,46.1719393,-1.1475793,dermageclinic.fr,Facility
FR,47.7446161,7.2953148,cfaa-mulhouse.fr,Facility
FR,44.4411995,0.2523521,fauguerolles.fr,Facility
FR,47.6497072,4.2750427,leprieurebuffon.fr,Facility
FR,49.0422698,7.4289103,totem-family.fr,Commerce
FR,49.1828996,-0.3713645,magma-restaurant.fr,Facility
FR,46.4491399,4.1158684,delaveau-fleurs.com,Commerce
FR,47.2890074,2.6297838,cathedrale-linard.com,Facility
FR,46.1578662,6.6682346,refuge-de-marie-louise.com,Facility
FR,47.8482221,3.5605141,technotextiles89.com,Commerce
FR,49.5081342,-1.4761068,lycee-valognes.fr,Facility
FR,48.3459671,-4.7049881,cinema-plougonvelin.com,Facility
FR,46.1581244,6.6664347,sourcesduchery.com,Facility
FR,45.5234641,4.8727771,pretaporter-aurora.com,Commerce
FR,45.9155092,6.0904881,cinema-lerabelais.fr,Facility
FR,45.033459,3.1029752,hotel-etape.com,Facility
FR,45.905691,6.8352934,camping-lesmarmottes.com,Facility
FR,43.2326979,-1.2992345,donquichosse.com,Commerce
FR,43.8222866,5.0370559,tennisclubcavaillon.fr,Facility
FR,45.4485568,6.9816848,lek2chogori.com,Facility
FR,46.7947468,1.7334569,surehotelchateauroux.com,Facility
FR,45.1877415,5.7223983,chocolatiercassandre.com,Commerce
FR,48.6014432,-2.8262154,moana-binic.fr,Facility
FR,45.688863,5.8959168,veterinairedentduchat.com,Unknown
FR,48.8763432,2.3961836,maisondesrefugies.paris,Facility
FR,45.9346227,-1.059201,camping-la-rochelle.net,Facility
FR,48.8942509,2.3460978,odeurdubook.fr,Commerce
FR,50.3364167,3.7372271,brasserieaubaron.com,Commerce
FR,49.3495091,0.5319298,culture-gaming.fr,Commerce
FR,48.5216702,-4.0616167,planete-interim.com,Commerce
FR,48.8492168,2.3893081,centre-dentaire-nation-saint-antoine.fr,Facility
FR,43.6909095,7.3338724,nonnarestaurant.fr,Facility
FR,46.1215055,3.4233095,albert-londres-vichy.fr,Commerce
FR,48.3642774,4.3275491,sicae-precy.fr,Commerce
FR,47.7443699,7.399415,casapastaio.com,Facility
FR,43.795133,4.6907809,technicycles.fr,Commerce
FR,47.368646,0.7344801,bainetconfort.com,Facility
FR,48.8901694,2.4030259,ventredelabaleine.com,Facility
FR,49.8690702,0.7129074,gosselinsandra-avocat.fr,Commerce
FR,44.1024806,1.0874952,concordecinema.com,Facility
FR,45.7767496,4.8361736,copperroots.fr,Facility
FR,48.7908087,2.2694811,guinguette-clamart.com,Facility
FR,49.1304475,1.9591445,lafermedelauretnico.com,Facility
FR,47.9600122,-1.4966514,boutiquedelulu.fr,Commerce
FR,48.786866,2.0570889,soredi-group.com,Commerce
FR,43.3806286,5.1634343,castrum-vetus.fr,Facility
FR,47.4406053,-0.2184069,grand-ecran-beaufort.fr,Facility
FR,48.0821436,-1.6814936,bowlingrennes.com,Facility
FR,48.3438836,2.5869686,lalique-group.com,Commerce
FR,47.5545396,-0.7976842,mieletgourmandises.fr,Commerce
FR,46.1955574,6.2349708,eglise-genevois-giffre.org,Facility
FR,14.7608595,-60.9100143,hotelfrenchcoco.com,Facility
FR,44.8509637,-0.5719199,chez-dupont.com,Facility
FR,48.4307703,0.0895279,barbetraiteur.fr,Commerce
FR,43.5498224,1.3829738,maison-retraite-toulouse.fr,Facility
