country,lat,lon,website,place_type
GB,50.8345587,-0.1692241,theboilerroomsauna.com,Unknown
GB,51.6360707,-3.1300702,thecwmcarnhotel.com,Facility
GB,52.3736703,-1.2601774,elliapearl.com,Commerce
GB,53.7980445,-1.436106,austhorpeprimary.org,Facility
GB,51.4895576,-3.1795644,deliowealth.com,Commerce
GB,52.6870276,-2.9416412,thegranarycourtyard.com,Facility
GB,51.4957791,-0.1950831,londonlodgehotel.com,Facility
GB,55.9570143,-3.1932801,linzicrawford.com,Commerce
GB,51.8841556,-1.7569804,hartwellscotswoldcyclehire.uk,Facility
GB,50.6828944,-3.4501912,flowerstreetvintageandrustic.com,Commerce
GB,51.7285315,-0.5267201,macdonaldhotels.net,Facility
GB,51.4261108,-0.9720377,officeprinciples.com,Commerce
GB,51.5362561,-0.1206367,kategreenaway.org,Facility
GB,51.5637706,-0.3693764,heathlandschool.net,Facility
GB,50.8467244,-0.9924532,monolution3d.com,Commerce
GB,51.6193451,-1.2577106,tridentbusinesspark.com,Commerce
GB,51.5061801,-0.194595,antiques-london.com,Commerce
GB,51.55715,-0.0103641,gardnersbags.com,Commerce
GB,51.5157828,0.3859992,southessexwildlife.org,Facility
GB,51.572308,-2.9096366,thenamethatsticks.com,Commerce
GB,51.6314849,-0.7604855,acedenture.com,Facility
GB,51.5177806,-0.1509197,contentbeautywellbeing.com,Facility
GB,52.7547612,0.3953838,seacroftmobility.com,Commerce
GB,53.7404792,-2.0141095,thetradesclub.com,Commerce
GB,51.5107835,-0.0679105,jacktherippermuseum.com,Facility
GB,55.9619361,-3.1966865,lowtidebjj.com,Facility
GB,52.7139411,-2.4289527,stmatthewscofe.com,Facility
GB,50.7989498,-0.0116006,telscombecliffsacademy.org,Facility
GB,52.8905176,1.4103736,triminghamhousecaravanpark.com,Facility
GB,51.4615854,-3.197905,flashpointcardiff.com,Facility
GB,52.3946947,-1.9870004,herbertsyard.com,Facility
GB,50.9484745,-2.8067703,thedavidhall.com,Facility
GB,50.826369,-0.1357896,aboutbalancebrighton.com,Facility
GB,53.4500237,-2.3704161,flixtongirls.com,Facility
GB,57.0773333,-2.1242981,citysouthaberdeen.com,Commerce
GB,51.3768164,0.0110088,seabrookgraham.com,Commerce
GB,52.0175659,-1.3751689,bloxhammuseum.com,Facility
GB,50.6175983,-2.4516247,thejubileehotel.com,Facility
GB,54.6412841,-3.5339795,workingtonacademy.org,Facility
GB,51.6666985,-0.6173595,benlawrencetailor.com,Commerce
GB,54.7713568,-4.9402766,ardwellchalets.com,Facility
GB,56.2926034,-6.2490163,ardalanish.com,Commerce
GB,52.8982389,-1.2765392,sirenfurniture.com,Unknown
GB,54.6605127,-1.6703369,kingjames1academy.com,Facility
GB,53.5702934,-2.7826436,maharishischool.com,Facility
GB,51.2253591,1.4027135,hopeandlane.com,Facility
GB,51.5162911,-0.1741281,londonreservation.com,Facility
GB,55.9709867,-3.1776513,campervanbrewery.com,Commerce
GB,51.4851022,-0.1945271,lilliesquare.com,Commerce
GB,55.8718432,-4.2984396,kimchicult.com,Facility
GB,51.3570426,-1.1007624,silchesterschool.org,Facility
GB,52.9365603,0.967779,langhamdome.org,Facility
GB,50.334911,-4.6360147,heatherjaneandco.com,Commerce
GB,51.5230361,-2.5787537,aerospacebristol.org,Facility
GB,51.5939579,-0.4123606,haydonschool.com,Facility
GB,52.9041283,-1.5066665,homelypassions.com,Commerce
GB,55.9619789,-3.1918041,aflatintown.com,Commerce
