country,lat,lon,website,place_type
JP,35.4629714,139.6228702,cyouyou-kai.jp,Facility
JP,38.270851,140.8711232,kanpo-sendai.com,Commerce
JP,38.264976,140.8740657,sasamori-dc.com,Facility
JP,42.8741744,141.8120521,hotel-watanabe.jp,Facility
JP,34.6003965,133.7653955,kurashiki-globalhotel.com,Facility
JP,34.7930227,135.5083449,suita-koueki.org,Facility
JP,36.1404841,137.2534704,ken-corporation.com,Facility
JP,34.6960172,135.1947041,aarti-kobe.com,Facility
JP,38.234134,140.8872615,skuld-angel.com,Facility
JP,35.6658192,139.7145052,kawakamian.com,Facility
JP,38.4280201,141.2894493,kumagaicycle.com,Commerce
JP,35.6686511,139.7618558,gallery-ueda.com,Facility
JP,34.7797102,137.7339909,omotebakery.com,Commerce
JP,35.6674496,139.7185994,loudgarden.com,Commerce
JP,38.2278937,140.885139,sendai-homemate.com,Commerce
JP,34.6991011,135.5008272,tuyutenjin.com,Facility
JP,36.3734613,140.475686,mito-keiseihotel.com,Facility
JP,34.7700457,135.4698831,toyonaka-hall.jp,Commerce
JP,35.7639753,139.630052,hikarigaoka-sp.com,Facility
JP,35.4394177,139.6479265,italian-tearoom-kandy.com,Facility
JP,38.2810174,140.3321531,maplefarms.jp,Commerce
JP,34.6705878,135.4996842,mercure-tokyustay-osaka.com,Facility
JP,35.9559051,139.5765472,osenbeiyasanhonpo.jp,Commerce
JP,35.653352,139.7090188,kitsune-web.jp,Facility
JP,36.0396175,138.1227718,cellamasumi.jp,Commerce
JP,33.8967608,135.1537426,bhotel-central.com,Facility
JP,43.0666589,141.3316395,green-flag.net,Commerce
JP,43.5257956,144.9146501,nemurohokubu-kouikirengo.jp,Facility
JP,41.9821257,140.6729046,yumeya-net.com,Facility
JP,37.3050122,138.8228079,chijiminosato-nsd.com,Facility
JP,39.7192891,140.1353174,akitajidou.net,Facility
JP,35.6955176,139.7035629,samuraimuseum.jp,Facility
JP,41.7636246,140.7157986,gotoken1879.jp,Facility
JP,34.6202847,133.8716242,momotaroclinic.com,Facility
JP,38.2741003,140.8518985,takuhaicook123.jp,Facility
JP,33.3552605,132.5274658,donburikan.com,Commerce
JP,26.4184167,127.7316973,glamdaystyle.jp,Facility
JP,34.5860521,133.8038585,ishinokobayashi.com,Unknown
JP,38.2156946,140.8795908,cosmo-green.jp,Commerce
JP,34.6971672,135.5130202,mirai-switch.com,Commerce
JP,34.488279,136.710604,thyguesthouse.jp,Facility
JP,35.7290521,139.3104658,akirunonaika.com,Facility
JP,35.7847017,139.5141312,gonta-animal.com,Commerce
JP,38.1566024,140.8663005,ainomori-cl.net,Facility
JP,35.6846047,139.7865448,rustic-kitchen.net,Facility
JP,35.51198,139.6326833,kikunajinja.jp,Facility
JP,34.758006,135.3815137,dent-yamaguchi.jp,Facility
JP,35.6906615,139.7087951,soranews24.com,Commerce
JP,34.6924167,135.197839,karon-clinic.net,Commerce
JP,35.1541999,136.8790441,yotumezushi.com,Facility
JP,35.4916951,134.1700636,deainomori.jp,Facility
JP,34.7750061,137.7081114,minatoya-coffee.net,Facility
JP,35.4538856,139.3902109,vinagardens.jp,Commerce
JP,35.7095289,139.6419622,asagaya-higashi.org,Facility
JP,43.8331454,143.9240183,sugawara-eye.jp,Facility
JP,35.4966365,137.5044378,onn-nakatsugawa.com,Facility
JP,42.9691955,141.4697339,inter-village.jp,Commerce
JP,35.7349787,139.5510086,twinkle-anime.work,Commerce
JP,35.6836765,139.7741481,nihonbashi-info.tokyo,Facility
JP,34.689698,135.5081043,haseko-hln.com,Commerce
JP,38.7256409,139.8266099,tact-tsuruoka.jp,Facility
JP,38.5352205,141.1226083,kanebayashi-kogyo.com,Commerce
JP,35.7020231,139.538378,cafe-sacai.com,Facility
JP,35.6945388,139.6985932,perfectcirclebeatles.shop,Commerce
JP,44.0222558,144.2770201,ryuhyo-glass.com,Commerce
JP,35.5483492,139.4430263,sugimurakaikei.com,Commerce
JP,34.7274497,135.7514629,otakarasoko.com,Commerce
JP,42.9262153,141.4330599,dynasty-ariake.jp,Facility
JP,35.429321,139.463051,yamatomidorigaoka.com,Facility
JP,34.655277,133.9045724,able-okayama.jp,Commerce
JP,42.3428563,142.3552719,takarakujichance.jp,Commerce
JP,35.6048912,139.7160591,shinagawa-choukaijichikai.jp,Facility
JP,34.8305554,135.2439162,omo-kansha.com,Commerce
JP,35.6663923,139.7646637,sushi-satake.com,Facility
JP,35.4516923,139.39627,ebina-ookusaclinic.com,Facility
JP,35.4394182,139.6498252,abcity-tokyo.com,Facility
JP,42.9755167,141.8019856,miyoshiyakigashiten.com,Commerce
JP,35.4636906,134.0591607,m-miyawaki.com,Facility
JP,35.727644,139.7989541,tokyo-backpackers.com,Facility
JP,35.8176789,140.2715914,yamatonoyu.com,Facility
JP,34.7217153,135.7715816,bakery-seizanso.jp,Commerce
JP,35.7074809,139.7722295,isen-honten.jp,Facility
JP,34.1899039,133.8282136,anabuki-enter.jp,Facility
JP,35.6469665,139.7867564,shiomachi-saryo.jp,Facility
JP,34.8167125,135.507277,apple-anri.jp,Commerce
JP,35.6607011,134.7629496,hitotomaru.com,Facility
JP,34.8437021,135.4710412,yamamotocoffeekan.jp,Facility
JP,34.9853781,134.9681667,nishiwaki-royalhotel.jp,Facility
JP,35.6489697,139.4046052,keio-rail-land.jp,Facility
JP,26.4171362,127.7286802,yomitankids.com,Facility
JP,36.2148604,136.2331737,wakazakura-awara.com,Facility
JP,34.4076051,133.2016283,onomichiramen-maruboshi.jp,Facility
JP,35.4396511,139.627166,doinranoukoku.com,Facility
JP,34.7194735,138.764103,ishibu-tanada.com,Facility
JP,33.5870232,130.3951097,marbreblanc.com,Facility
JP,34.7632495,137.6335462,e-flowerpark.com,Facility
JP,35.0139092,135.7876033,hotelgp-kyoto.com,Facility
JP,43.0449922,141.3391419,matsuda-dental.net,Facility
JP,43.0982519,141.3238789,sinkawa-hifu.com,Facility
JP,38.7483724,140.2994414,shinjokamuro.jp,Facility
JP,35.7008576,139.7398225,royalscotsman.jp,Facility
JP,38.5871002,140.7859907,ryusenin-kami.org,Facility
JP,38.230339,140.8872755,xebioarena.com,Facility
JP,34.8310844,133.4917191,uji-irodori.info,Facility
JP,34.6386702,135.0771334,shioyascone.info,Commerce
JP,34.6410414,133.9131183,hairmakemichi.com,Facility
JP,34.6340576,133.9166478,okazaki-ganka.com,Facility
JP,38.2702293,140.8708008,macuisine2002.com,Commerce
JP,33.1600468,130.40006,honwakakazoku.com,Commerce
JP,34.7550172,135.3667751,hosono-onakacl.com,Facility
