country,lat,lon,website,place_type
NL,53.1388429,6.2109265,bosparktrimunt.nl,Facility
NL,51.6252482,4.8447451,basisschoolmenorah.nl,Facility
NL,52.3793226,6.8191317,vcfleringen.nl,Facility
NL,50.8496166,5.7007964,harrysrestaurant.nl,Facility
NL,52.0677751,5.2017476,suzannesvoetzorg.nl,Facility
NL,52.3351845,5.6177868,cbsdewegwijzerhw.nl,Facility
NL,52.0911381,4.3051355,finehotelsandsuites.com,Facility
NL,50.8531521,5.685101,vivelevelo.org,Commerce
NL,52.4023003,4.6218633,bornwaterschool.nl,Facility
NL,52.6743417,6.2590262,dehavixhorst.nl,Facility
NL,53.279633,6.1479323,tikokinderopvang.nl,Facility
NL,52.3626837,4.8638484,stomerijsupervorm.nl,Commerce
NL,52.0237923,4.2179125,trendyhairkappers.nl,Facility
NL,52.3218807,4.6734114,sintmaartengroep.nl,Facility
NL,51.9420781,5.9197093,huisartsbroens.nl,Facility
NL,52.2839635,5.9589037,krugerstee.nl,Facility
NL,51.9282017,4.3487396,xs2passerelle.nl,Commerce
NL,53.0665731,5.5688863,automobielbedrijfjaarsma.nl,Commerce
NL,53.1856995,5.7724733,eethuisdelorentz.nl,Facility
NL,51.3673908,5.2182247,outfitzbyzoe.nl,Commerce
NL,52.035102,6.6310741,havezatemarveld.nl,Facility
NL,52.4985065,5.0531739,delisnacks.nl,Facility
NL,51.8468486,4.4964032,shoarma-carnisse.nl,Facility
NL,52.1638152,4.4889647,vanleeuwen-tandartsen.nl,Facility
NL,51.9572653,5.5678404,bonsaisushi.nl,Facility
NL,52.0449387,5.3540851,helenaheuvel.nl,Facility
NL,52.8833631,7.0496163,talentemployment.nl,Commerce
NL,52.2529077,6.1596601,restaurantnuchter.nl,Facility
NL,51.7091581,4.7049119,kaatjeskapsalon.nl,Facility
NL,52.0804999,5.1124928,restaurantdebrandingutrecht.nl,Facility
NL,52.4802216,5.5311616,swifterkamp.nl,Facility
NL,52.9411972,6.6046824,hetamerveld.nl,Facility
NL,51.954553,4.5660346,vloerhetzelf.nl,Commerce
NL,52.0288082,4.2827722,wateringseveldcollege.nl,Facility
NL,52.3579216,4.8906578,cafeberkhout.nl,Facility
NL,52.1453393,5.3917483,huisartsenamersfoortzuid.nl,Facility
NL,52.2018733,4.393113,knipboetiekvanzuilen.nl,Facility
NL,52.2505221,6.2844796,deheerenvandorth.nl,Facility
NL,52.5148272,6.1204406,zelfstandigmetzorg.nl,Commerce
NL,52.9949627,6.5640137,marktvanassen.nl,Commerce
NL,52.1077293,6.2989632,piekzweverink.nl,Facility
NL,52.0274565,4.7012929,destartbaangouda.nl,Facility
NL,52.6976352,5.2346942,vivantwinkels.nl,Commerce
NL,52.0121277,4.3706145,vissenasiel.nl,Facility
NL,52.241584,7.0304259,concordia-overdinkel.nl,Commerce
NL,51.884977,4.466254,hpc-charlois.nl,Facility
NL,52.1397959,5.0390932,wijngenotenmaarssen.nl,Commerce
NL,52.0128843,4.359954,mekhongdelft.nl,Facility
NL,51.8551883,4.5392319,fr-body-art.nl,Facility
NL,52.0076484,4.7019427,filmhuisgouda.nl,Facility
NL,52.2172847,5.1940939,hummelingschool.nl,Facility
NL,52.3788732,4.8521056,mannenkapper-keesbregman.nl,Facility
NL,52.4839012,4.6663482,bakkerijschoone.nl,Commerce
NL,52.0129925,4.3575995,logesilentium.nl,Unknown
NL,51.994965,4.3726873,delftlacrosse.com,Facility
NL,51.8333063,4.3438192,restaurantmaxima.nl,Facility
NL,52.3200331,5.5417629,obsdewetering.nl,Facility
NL,51.422084,4.3233049,restaurantlacucina.nl,Facility
NL,52.2800136,6.8072443,ondernemershuish10.nl,Commerce
NL,51.8165927,5.6191707,laurenshoeve.nl,Facility
NL,52.0938525,4.3654761,hitandhealth.nl,Facility
NL,52.5103595,4.9465686,smidetenendrinken.nl,Facility
NL,51.2845542,6.0783995,lef-reuver.nl,Facility
NL,52.0947994,5.1203153,kapsalonsunny.nl,Facility
NL,52.5084481,6.3805973,peterzemel.nl,Facility
NL,53.21856,6.5617327,depintelier.nl,Facility
NL,51.4377261,5.4774829,hotellumiere.nl,Facility
NL,51.453473,5.470756,tdreefke-eindhoven.nl,Facility
NL,51.9939314,5.0927481,panterhuis.nl,Commerce
NL,52.6214991,6.0409646,huisman-assurantien.nl,Commerce
NL,52.7459278,6.4650246,spaarbankhoeve.nl,Facility
NL,53.2193856,5.8635496,zeilschoolpropsma.nl,Facility
NL,52.3695448,4.5272886,zandvoortpension.nl,Facility
NL,52.9004425,4.7518245,langevliet.nl,Facility
NL,52.2946904,6.8161231,derankhengelo.nl,Facility
NL,51.9626724,5.6589535,vanleusdentransport.nl,Commerce
NL,51.2988118,5.6791617,daatjeshoeve.nl,Facility
NL,52.2161347,5.9566085,beekparktandartsen.nl,Facility
NL,52.2509144,6.1596447,speelgoedmuseumdeventer.nl,Facility
NL,52.1055074,6.0648388,detijdeerbeek.nl,Facility
NL,52.6429663,5.0539204,zorba-hoorn.nl,Facility
NL,52.3761433,4.8862153,hypnotherapiejordaan.nl,Facility
NL,51.8755837,4.043038,salsabeachclub.nl,Facility
NL,52.8889157,6.4630272,detuinfluiter.nl,Facility
NL,51.491884,4.0482148,tandartspraktijkyerseke.nl,Facility
NL,52.6327285,4.7447275,stadskaffee-laurens.nl,Facility
NL,51.4333463,5.5014937,koelhuiseindhoven.nl,Facility
NL,51.5805515,5.1930113,terhorstvangeelmode.nl,Commerce
NL,52.369898,4.8653231,cafe-thuys.nl,Facility
NL,52.3546112,4.8552619,cafeschinkelhaven.nl,Facility
NL,51.5255427,4.4539999,kroevenpoort.nl,Facility
NL,51.3736948,6.1403356,kafkaseethuis-venlo.nl,Facility
NL,52.1930761,5.9390373,futurumshop.nl,Commerce
NL,51.6569101,5.6168419,raadhuis-uden.nl,Facility
NL,52.2142759,5.1977453,grootgoylant.nl,Facility
NL,51.4765685,5.437611,deluytervelde.nl,Facility
NL,12.0851444,-68.8974292,hemingwaycuracao.com,Facility
NL,53.2178755,6.569433,thesmoothbrothers.nl,Facility
NL,53.1965634,5.8007902,mediainnovatiecampus.nl,Commerce
NL,52.6571115,6.4239135,natuurverenigingzuidwolde.nl,Commerce
NL,52.5513761,5.4015297,bootmarkerwadden.nl,Commerce
NL,52.1633052,4.4900266,therockinchair.nl,Commerce
NL,51.541246,5.211212,stellophoeve.nl,Facility
NL,51.8366521,5.8493038,fawakafood.nl,Facility
NL,52.2206138,5.9701698,moodkeukens.nl,Commerce
NL,52.2924326,4.5776805,deroodelaars.nl,Commerce
NL,51.331196,6.0955515,ragazzikappers.nl,Facility
NL,53.202677,5.797263,sherebangla-leeuwarden.nl,Facility
NL,52.1865601,6.4912733,erve-hofvanheden.nl,Facility
NL,51.9661595,5.6616618,janweernekers.nl,Commerce
NL,52.3739798,4.8911471,mellyscookiebar.nl,Facility
NL,51.9786864,5.6610216,obsdetarthorst.nl,Facility
NL,52.2120423,5.9650815,pokepoke-apeldoorn.nl,Facility
NL,52.8816995,7.0549523,hbg-partners.nl,Commerce
NL,52.1386149,6.1991362,dezoutknop.com,Facility
NL,51.7941756,4.5539835,tvputtershoek.nl,Facility
NL,51.4837734,3.8917012,cardselect.info,Commerce
NL,51.944665,4.7127511,gergemberkenwoude.nl,Facility
NL,52.220511,6.9044912,adema-sleutelspecialist.nl,Commerce
NL,52.146863,4.5264998,pcbowillemdezwijger.nl,Facility
NL,52.1683111,6.4087134,garagevanoostrum.nl,Commerce
NL,52.073999,4.2853992,deklimopschool.nl,Facility
NL,52.2623622,6.8017599,robersadvocaten.nl,Commerce
NL,53.2171177,6.5679879,horlogeriekronos.com,Commerce
NL,52.2316073,6.8907562,opdebrouwerij.com,Commerce
NL,52.226007,5.9763157,dwautotechnologie.nl,Commerce
NL,51.5527394,5.0891509,kingcashshoptilburg.nl,Commerce
NL,51.4636335,4.4249565,aandegroenezoom.com,Facility
NL,50.9077547,5.8117987,oenselsfruitweike.com,Facility
NL,52.0182744,4.4316561,brasseriebrocantepijnacker.nl,Facility
NL,51.6892824,5.8267236,hetwisbroek.nl,Facility
NL,50.8743139,5.9238064,gsvservices.nl,Commerce
NL,52.3666394,4.8695707,armysurplus.nl,Commerce
NL,52.51962,4.9973674,erkampglasbv.nl,Commerce
