country,lat,lon,website,place_type
PL,51.5056544,16.0674888,adwokatmichalski.com,Commerce
PL,54.4409993,18.5718606,pokojeprzyplazy.pl,Facility
PL,50.9214542,15.3006638,kuznia-smakow.eu,Facility
PL,52.2253441,21.011955,prodizwarszawski.pl,Facility
PL,52.6593946,19.0652337,zskdlugosz.pl,Facility
PL,54.3444475,18.6130658,zielonydomek24.pl,Facility
PL,51.3873852,21.0958068,karczmabankrut.pl,Facility
PL,50.2935182,18.6611937,open-sport.club,Facility
PL,51.4003717,21.14907,gamefinity.pl,Unknown
PL,49.8690365,19.0300983,megatechnikplus.pl,Commerce
PL,51.1166984,15.6184508,art-plakowice.de,Commerce
PL,50.1191159,18.9825303,szpitalmiejskitychy.pl,Facility
PL,50.1159626,18.3740015,superborowka.pl,Commerce
PL,51.7408688,19.3645602,commercecon.pl,Commerce
PL,53.1150436,18.059233,bmw-dynamicmotors.pl,Commerce
PL,50.5095773,19.3823855,browarjana.pl,Commerce
PL,54.3072984,22.3002986,radosne-skrzaty.pl,Facility
PL,51.0853045,17.0377955,paradise-studio.pl,Facility
PL,50.3242761,19.2000184,obiady-adas.pl,Facility
PL,49.5561505,19.0877708,slodkiprzystanek.pl,Commerce
PL,51.1114517,17.0198121,etna-pizza.pl,Facility
PL,53.0123132,18.6085582,geofabryka.pl,Commerce
PL,53.1810641,17.0796263,gminawysoka.pl,Facility
PL,52.2608546,20.9204781,planszomania.pl,Commerce
PL,49.9884987,20.3755777,motodemontaz.pl,Commerce
PL,51.6575055,20.9500403,woprbialobrzegi.pl,Facility
PL,51.9671733,19.2829075,ug-ozorkow.pl,Facility
PL,50.0805878,20.1865612,barjanosik.eu,Facility
PL,50.9221159,16.1027754,ckb-bolkow.pl,Facility
PL,52.4414741,16.9226716,leczenie-uzaleznien.info,Unknown
PL,52.5541178,17.6167098,phupgniezno.pl,Commerce
PL,52.1483978,20.8110934,stacjakomorow.pl,Facility
PL,49.9332696,19.9710595,kaprys-met.pl,Commerce
PL,52.3910976,16.7835557,family-med.eu,Facility
PL,50.1556267,19.7033995,rozin-pstragarnia.pl,Facility
PL,52.4082422,16.9382386,pyramidahub.com,Unknown
PL,52.2344094,21.0112466,filharmonia.pl,Facility
PL,52.1824854,21.0044628,prodataconsult.pl,Commerce
PL,50.0481972,19.9428147,cameleonia.pl,Facility
PL,51.9920926,21.2098081,polsport-sklep.pl,Commerce
PL,49.9282762,19.250109,beskidzkie.com,Commerce
PL,50.2928672,18.6634373,saporidivini.pl,Facility
PL,54.5545826,18.524123,po-kawalku.pl,Facility
PL,52.8750101,18.7899613,elektronikom.pl,Facility
PL,53.5262704,15.8176215,powiatdrawski.pl,Facility
PL,52.217638,16.0824729,wrzosboruja.pl,Facility
PL,50.2345933,18.997569,porta-fortuna.pl,Facility
PL,49.7991135,19.4136508,dompodgroniem.pl,Facility
PL,51.7172822,19.4090246,zainwestujwekologie.pl,Commerce
PL,49.6116688,21.7511527,krykar-meble.pl,Commerce
PL,53.1036384,21.610644,energaostroleka.pl,Commerce
PL,50.4875843,17.2539574,goswinowice.com,Unknown
PL,50.0687344,19.9835755,zdrovotnia.pl,Facility
PL,52.0698,19.4811732,gminapiatek.pl,Facility
PL,53.110592,23.2096237,parafiansm.pl,Facility
PL,50.872006,20.6246847,meissakosmetyka.pl,Facility
PL,52.2346939,20.9676177,dzialdowska.pl,Facility
PL,52.731811,14.7030115,szpital-debno.pl,Facility
PL,50.2952126,18.6738446,motoatelier.pl,Commerce
PL,51.8267099,17.5005604,palacworli.pl,Facility
PL,51.8721588,21.6394939,pasaz-sulbiny.pl,Commerce
PL,52.2025333,21.0114691,alicjagetka.com,Commerce
PL,50.8417575,17.5162199,strzelnicapawlow.pl,Facility
PL,50.362898,19.2128149,novapogoria.pl,Facility
PL,52.7330422,14.6925771,labranlogistics.pl,Commerce
PL,50.2911469,21.4381033,powiat-mielecki.pl,Facility
PL,52.1748333,20.8813822,salonpaulamichalowice.pl,Facility
PL,51.9865694,20.9035854,pracownia-emu.pl,Facility
PL,49.2498547,19.9517017,halakondratowa.pl,Facility
PL,51.2709955,22.56962,porcelanowydom.pl,Commerce
PL,50.2192637,18.6648432,gabinetydentes.pl,Facility
PL,50.0493413,19.9426924,dom-norymberski.com,Unknown
PL,50.6890913,18.7063084,parafia-jawornica.pl,Facility
PL,51.9541532,15.8112629,palacbojadla.org,Facility
PL,51.105584,16.9505195,mazda-wroclaw-jaremko.pl,Commerce
PL,52.1568016,21.0249636,mbmpartners.pl,Commerce
PL,52.2248405,21.0118445,leonardoverde.pl,Facility
PL,52.1566258,21.0393441,trenujdalej.pl,Facility
PL,51.118294,20.8747666,rezydencjazeromskiego.pl,Commerce
PL,50.0423682,19.9440633,pizzeria00.pl,Facility
PL,50.0606231,19.942106,vatabikedoctors.pl,Commerce
PL,53.425605,14.5627844,podzamkiem24.pl,Commerce
PL,50.8468112,17.4626504,akademiazywienia.pl,Facility
PL,52.4189988,16.8777729,montessori-home.pl,Facility
PL,51.1936195,22.5847622,salonrenault.pl,Commerce
PL,50.2584772,19.0177467,yankeecandle.pl,Commerce
PL,51.0368529,16.9771165,przedszkolesleza.pl,Facility
PL,52.1864399,20.9053207,storycoffee.pl,Facility
PL,50.6455749,22.4064487,sukabilgorajska.pl,Commerce
PL,51.0922812,17.0446746,teatr-adspectatores.pl,Facility
PL,51.8879913,19.0154207,rcspanaszew.pl,Facility
PL,53.8637192,15.1129826,malagastronomia.com,Facility
PL,52.4516705,16.6525934,gruntkowski.pl,Commerce
PL,53.1235568,17.8975131,przybelmie.pl,Facility
PL,52.2600795,20.9651381,gabinetykrasinskiego.pl,Facility
PL,49.4741371,20.013394,kominki-lumar.com,Commerce
PL,51.0204836,23.1838287,bskrasnystaw.pl,Facility
PL,50.2619603,19.02158,lepiejlepiej.pl,Commerce
PL,50.008326,20.9769341,glodnywilktarnow.pl,Facility
PL,53.1462003,23.1835383,sprytne-misie.pl,Facility
PL,52.2244014,21.0139499,okocimbeer.pub,Facility
PL,54.3354001,18.9291702,viktoriadomnawyspie.pl,Facility
PL,50.9486031,21.3769429,kosmetyczkaostrowiec.pl,Facility
PL,50.6829602,22.9547055,dpsszczebrzeszyn.pl,Facility
PL,49.7285624,21.8727297,dompodwiankami.pl,Facility
PL,53.7627305,16.0902379,przyjazny-szpital.pl,Facility
PL,50.2605228,19.0231424,elitelaserspa.pl,Facility
PL,54.3927831,18.6442455,e-packsend.com,Commerce
PL,51.5872277,19.1618233,dzieciakplus.pl,Facility
PL,52.1060155,21.1044971,servicemile.pl,Commerce
PL,50.4448999,23.41355,przedszkoledobrystart.pl,Facility
PL,53.4280847,14.5642855,columbuspub.pl,Facility
PL,54.5221627,18.5191003,laboratoriumfotometryczne.pl,Commerce
PL,52.408765,16.9818184,boxopakowania.pl,Commerce
PL,50.294922,18.6646071,skrzydlatybyk.pl,Facility
