country,lat,lon,website,place_type
PT,37.7294392,-8.736835,mcnalentejo.com,Facility
PT,38.7147558,-9.1368749,hotel-mundial.pt,Facility
PT,38.7116424,-9.1454966,tanoaflavor.com,Facility
PT,41.1572314,-8.6438246,clinicamedicadoporto.pt,Facility
PT,38.7322426,-9.1063923,acasadobacalhau.com,Facility
PT,38.7229916,-9.2181271,musicfactory.pt,Commerce
PT,41.1465735,-8.6327094,portoandlisbon.pt,Commerce
PT,38.5995212,-28.759606,jf-praiadonorte.com,Facility
PT,37.1911343,-8.890518,carrapateirasurf.com,Unknown
PT,38.4803164,-9.1037419,limpmaster-internacional.pt,Commerce
PT,38.4430884,-9.0996113,casamateus.pt,Facility
PT,40.6222033,-8.2735436,jf-prestimo-macieiradealcoba.pt,Facility
PT,39.0098171,-9.4154486,pizzamobile-international.com,Facility
PT,41.1554803,-8.6769561,indiferente.pt,Facility
PT,37.1531673,-7.8857594,museu-sbras.com,Facility
PT,38.7326503,-9.1522542,4tuneengineering.com,Commerce
PT,37.7411104,-25.6612685,malatintamagazine.com,Commerce
PT,41.2962664,-8.3662215,jfcarvalhosa.pt,Facility
PT,40.6416746,-8.6536073,hotelaveiropalace.com,Facility
PT,38.4455497,-7.3789195,saboresdemonsaraz.com,Facility
PT,38.703207,-8.9640457,psautomoveis.pt,Commerce
PT,41.2761647,-7.7161524,japautomotive3.pt,Commerce
PT,41.184593,-8.5468595,sportcluberiotinto.com,Facility
PT,38.7690559,-9.1600995,campusdolumiar.pt,Facility
PT,41.256368,-8.1124544,golfedeamarante.com,Facility
PT,41.1823679,-7.5525329,quintadelarosa.com,Commerce
PT,38.4597307,-9.1048801,mario-neto.com,Commerce
PT,37.1286043,-7.7364698,quintaaumonte.com,Commerce
PT,40.6953902,-7.9108127,restaurante-santaluzia.pt,Facility
PT,38.7984374,-9.3886248,comoorigins.com,Facility
PT,40.6498655,-8.6460898,soniacruz-arquitectura.com,Unknown
PT,38.7130205,-9.1453462,afabricadoschapeus.com,Commerce
PT,41.3851573,-8.2878874,sbentoperas.pt,Facility
PT,38.4131591,-28.2833321,aldeiadafonte.com,Facility
PT,38.7111718,-8.9679469,cddescobertas.com,Facility
PT,41.3531641,-8.5834448,metaldistendido.com,Commerce
PT,40.118126,-8.5021981,condeixamaquinas.com,Unknown
PT,40.2380457,-8.4868127,quintadoregalo.com,Facility
PT,37.1587668,-7.889341,herminioteixeira.com,Commerce
PT,38.7479654,-9.1772946,farmaciadoslusiadas.pt,Commerce
PT,39.5402555,-8.3182476,fcmportugal.com,Facility
PT,38.6850407,-9.3436514,farmaciasacoor.pt,Commerce
PT,38.6221666,-27.9257001,caldeirasurfcamp.com,Facility
PT,41.151976,-8.6292915,cnslourdes.com,Facility
PT,38.7053163,-8.9696352,diariodaregiao.pt,Unknown
PT,38.7577245,-9.0968699,brazilianburgerhouse.pt,Facility
PT,41.7395284,-7.4687713,fortestore.com,Commerce
PT,38.7338128,-9.143656,passagetoindia.pt,Facility
PT,40.2198647,-8.4304049,abs-rolamentos.pt,Commerce
