country,lat,lon,website,place_type
SE,59.2193728,15.4720449,equmeniakyrkantorsborg.se,Facility
SE,58.3951873,15.087359,skeningeav.se,Commerce
SE,55.6736781,13.0711267,lommakrogen.se,Facility
SE,57.6861707,12.2097741,olssonsgatukok.se,Facility
SE,56.6300779,15.5424142,emmabodafolketshus.se,Facility
SE,59.8616835,17.6362655,uppsalamissionskyrka.se,Facility
SE,59.3644838,18.0035461,batteridoktorn.se,Commerce
SE,59.3174272,18.0634361,folketshusochparker.se,Facility
SE,59.5445555,18.0672677,vallentuna4h.se,Facility
SE,59.3172879,18.0489056,sodermalmterapicenter.com,Facility
SE,57.6765222,14.091066,leffesbilservice.se,Commerce
SE,59.874003,17.6382165,uppsalamoske.se,Facility
SE,57.1867582,14.0384386,linnbeauty.com,Facility
SE,59.6243258,16.5512221,sahlbergscykel.se,Commerce
SE,58.3940365,15.5594913,mjardeviharcenter.se,Facility
SE,63.0557634,18.3270392,skulebergetsfrestelse.se,Facility
SE,59.47897,18.2916885,chinakejsaren.se,Facility
SE,56.2083691,15.529717,sangjatten.se,Commerce
SE,55.6114721,12.9852537,yallatrappan.se,Facility
SE,56.8558682,14.8297584,maestrovaxjo.se,Facility
SE,58.4102602,15.6205951,bagerinormandie.se,Commerce
SE,59.2568624,18.0813945,minioutlet.se,Commerce
SE,59.3158857,18.0342615,babelbazar.se,Facility
SE,63.6872655,20.300843,gamlasalteriet.se,Facility
SE,60.1608373,18.7447492,singoaffaren.se,Commerce
SE,60.907287,15.002972,vikarbygarden.se,Facility
SE,59.280972,18.014018,flyttfirman4ess.se,Commerce
SE,59.3222683,11.8886708,scandtrack.com,Facility
SE,58.4365916,11.2675881,ramsviksgarden.nu,Facility
SE,56.8347136,13.942319,smalanningen.se,Unknown
SE,55.9752149,14.4087316,landonscamping.se,Facility
SE,59.3231925,18.0034519,pappasdeli.se,Facility
SE,59.8663349,17.6214015,arisathaikok.se,Facility
SE,56.0717664,14.477178,cykelreparatorer.se,Unknown
SE,57.0714664,16.8560271,sandviks-hamnkrog.se,Facility
SE,57.1822008,14.0552144,pizzeriachaplin.se,Facility
SE,62.60024,17.817033,mittsverigebanan.se,Facility
SE,63.9048716,20.5605475,vastkuststugan.se,Commerce
SE,57.7793475,18.7805992,happyhippiestore.se,Commerce
SE,60.2826429,17.451835,gryttjomsmekaniska.com,Commerce
SE,59.3418738,18.0517995,inthemoodfortea.se,Commerce
SE,58.5494052,15.0569737,gongiversum.com,Facility
SE,55.6998962,13.191631,sabaithaimassage.nu,Facility
SE,59.3173419,18.0840997,durochmoll.se,Facility
SE,58.348878,11.942701,einarskonditori.se,Commerce
SE,59.3324802,18.0433153,chainofwheels.com,Commerce
SE,59.3233206,13.4837379,karinsfotvard.se,Facility
SE,58.3963789,15.6517465,jehanafoods.com,Commerce
SE,63.8246122,20.2602586,kvinnohistoriskt.se,Facility
SE,59.8751929,17.624135,retrolyckan.se,Commerce
SE,58.6706063,16.3268042,oscarshall.se,Facility
SE,59.5600226,18.2195753,movewellness.se,Facility
SE,55.6138735,14.2886478,villaosterlen.se,Unknown
SE,60.6132708,16.9708758,hunderbart.se,Facility
SE,56.9987819,16.517488,kaffetorpetscamping.com,Facility
SE,58.7512393,17.0058525,bemyguestnyk.se,Facility
SE,59.3370111,18.0771126,abarcalledgemma.se,Facility
SE,57.6046996,11.9492915,snackskalet.se,Facility
SE,59.3416681,18.0467739,indianguru.se,Facility
SE,57.2641983,13.5993996,srwanderstorp.se,Facility
SE,63.8366145,20.2626323,umevatoriet.se,Facility
SE,61.1947263,14.531572,smidgarden.se,Facility
SE,59.3297383,18.0384271,joenimble-stores.se,Commerce
SE,55.5843775,13.0059038,tasteofthailand.nu,Facility
SE,59.3303895,18.065649,rajalaproshop.se,Commerce
SE,57.6461245,16.5900674,vastrumkonstrum.se,Facility
SE,62.3913948,17.3106579,sundsvallcityhotel.se,Facility
SE,59.0914787,17.5602758,draknyckeln.se,Commerce
SE,57.9951386,13.8457537,kyrkekvarn.com,Facility
SE,59.064034,16.7154792,sovaimejeriet.se,Facility
SE,58.4076442,15.5928977,vallacykelservice.com,Commerce
SE,65.0966643,17.1174414,storumanslarcentrum.se,Facility
SE,65.5757319,22.2047082,luleaskatepark.com,Facility
SE,57.8022459,13.4415033,fixturteknik.se,Commerce
SE,57.6812068,11.9063935,solpanelmontage.se,Commerce
SE,57.6397935,18.3269137,toyotavisby.se,Commerce
SE,60.2797977,15.9867361,cafewahlman.se,Facility
SE,57.7770039,14.0607657,axamostrand.se,Facility
SE,57.6604711,14.962904,formaframtid.se,Facility
SE,59.3361802,18.0523292,tamarind-indisk.se,Facility
SE,60.4865879,15.432048,dalavardochvaccin.se,Facility
SE,59.3337118,18.076408,teatergrillen.se,Facility
SE,60.60689,15.630543,gottochreco.se,Facility
SE,59.3135178,18.079284,popstockholm.se,Commerce
SE,59.2897045,18.288071,kringelgarden.se,Commerce
SE,59.3125105,18.0580116,pizzeriailmolino.se,Facility
SE,59.3237836,18.0688243,thehairypig.com,Facility
SE,59.8491947,17.6480888,selmashytt.se,Facility
SE,56.0736228,14.4678077,centrumadvokaterna.se,Commerce
SE,59.3134296,18.0739399,exitloungebar.se,Facility
SE,59.3327325,18.0449179,cityhostel.se,Facility
SE,55.7090513,13.208549,soul-sisters.se,Facility
SE,57.7023016,11.9860502,danilorestaurang.se,Facility
SE,59.3328401,18.0729255,volkswagen.se,Commerce
SE,59.3386001,18.0610135,crazyhorse.se,Facility
SE,59.8571921,17.6356479,dogbakerystockholm.com,Commerce
SE,59.7382467,18.6995567,roslagskrafterna.se,Commerce
SE,56.6387737,16.2228107,hossmogard.se,Facility
SE,58.4791338,15.2294865,loppisifornasa.se,Commerce
SE,59.3351714,18.082403,wellington.se,Facility
SE,61.9460388,17.0682459,visitsagaliden.se,Facility
SE,59.3384084,18.0814137,galleristenlander.shop,Facility
SE,58.061968,14.4991744,uppgrennanaturhus.se,Facility
SE,63.1683975,14.6901892,jamtlandskok.se,Commerce
SE,62.3933721,17.259972,powersport.se,Commerce
SE,60.7276053,17.1261063,snorremaskin.se,Commerce
SE,59.297584,18.0659662,skagershuset.se,Commerce
SE,56.8752994,12.5275066,hallandskustvandrarhem.se,Facility
SE,56.2114094,15.2759174,grillhornan.se,Facility
SE,59.414226,18.0392905,changdobels.se,Unknown
SE,61.1339943,13.3011609,gudmundssons.se,Commerce
SE,57.9040128,13.8726694,hotellmullsjo.se,Facility
SE,57.9282981,12.5311032,vazzhairdesign.com,Facility
SE,59.2389154,18.0825664,farstagard.se,Facility
SE,58.4113441,15.5602016,linslusenlkpg.se,Commerce
SE,63.7173467,20.377947,holmsundskoter.com,Unknown
SE,55.930656,13.5457537,biovisionfilm.se,Facility
SE,64.5992244,18.6670771,lyckselemuaythai.com,Facility
SE,59.5619414,17.9639257,gokartstadion.se,Unknown
SE,57.703985,11.9682213,avalonhotel.se,Facility
SE,55.5920811,13.0146468,barnensscen.se,Facility
SE,57.0397288,12.3251005,rodlixvandrarhem.se,Facility
SE,56.2256311,12.8617162,efs-kyrkan.info,Facility
SE,59.3334527,18.0750965,nathalieschuterman.com,Commerce
