country,lat,lon,website,place_type
SK,47.9637003,18.5099166,velkeludince.sk,Facility
SK,49.2550298,19.0137083,maruna-terchova.sk,Commerce
SK,48.9864095,21.2653413,cinskarestauracia-xihu.sk,Facility
SK,48.311774,18.0853656,antikvariatzrkadlo.sk,Commerce
SK,48.1686165,19.3647745,obecnovaves.sk,Facility
SK,48.6768681,19.2798632,perifernecentra.com,Unknown
SK,49.2881062,18.7804325,motelskalka.sk,Facility
SK,48.6973126,20.9123066,pilamedzev.sk,Commerce
SK,48.3790923,17.5845704,zdravomarket.sk,Commerce
SK,49.0620403,19.3888137,penzionsaty.sk,Facility
SK,48.2518597,19.2165159,minicamping.eu,Facility
SK,48.0214376,17.7976355,prolesenie.sk,Commerce
SK,48.6924214,22.1053097,blatnapolianka.sk,Facility
SK,48.3258971,17.3197112,pongratztrailers.com,Commerce
SK,48.1512601,18.8692571,park-hotel.sk,Facility
SK,47.7644167,17.8842774,velkekosihy.sk,Facility
SK,48.7245632,17.0895399,marinerplus.sk,Commerce
SK,48.1449789,17.1065194,flatgallery.sk,Facility
SK,49.145293,21.1192759,hotelsomka.sk,Facility
SK,48.1450809,17.1402944,rmcproperties.sk,Unknown
SK,48.7173566,21.2591445,johngarfield.sk,Commerce
SK,49.0165059,21.22423,krajinazdravia.sk,Commerce
SK,48.1216578,17.1055882,streetwear.sk,Commerce
SK,48.702123,21.2472074,fordszilcar.sk,Commerce
SK,49.0728602,22.0035006,slovenskekrive.sk,Facility
SK,48.1945268,17.7170464,optikagalanta.sk,Facility
SK,48.1913919,17.7241693,sbggalanta.sk,Facility
SK,48.1557983,17.0475603,plavarenmajernikova.sk,Facility
SK,49.3316958,20.3446297,spisskehanusovce.sk,Facility
SK,49.1972242,19.5209618,penzionborovec.sk,Facility
SK,49.0693449,19.3421734,stiavnicka.sk,Facility
SK,48.9257677,19.7501082,hotelbarbora.sk,Facility
SK,48.3818406,17.589322,ak-slanina.sk,Commerce
SK,48.1592915,17.1147514,penziondonet.sk,Facility
SK,48.173999,17.1728281,ubytovna-alrent.sk,Facility
SK,48.3883109,18.3912474,astrasalon.sk,Facility
SK,48.9867045,21.2417465,sumanabytok.sk,Commerce
SK,49.2596611,18.4977812,obecpetrovice.info,Facility
SK,48.3818581,18.0647528,palenicajelsovce.sk,Facility
SK,48.7703459,18.6220219,infinitystyle.sk,Commerce
SK,48.9784035,21.2702293,kotva-motory.sk,Unknown
SK,48.9971623,21.2374281,hotelblackhorse.sk,Facility
SK,49.1700545,20.3814894,vilaaurora.sk,Facility
SK,49.4305947,18.7895803,zsstefanika.sk,Facility
SK,48.1275902,17.117363,taprestaurant.sk,Facility
SK,49.0115834,21.2370376,skiservis-presov.com,Facility
SK,48.3233314,18.0987115,wellnesszoborska.sk,Unknown
SK,48.9405532,19.0974418,chatapodborisovom.eu,Facility
SK,48.1276136,17.1800702,archgallery.sk,Unknown
SK,48.3137599,18.0869973,thajskykvet.sk,Facility
SK,48.1295656,17.1732329,maranello-ristorante.sk,Facility
SK,48.6921841,21.0078226,obecrudnik.eu,Facility
SK,48.1207592,17.1128047,eltonelektro.sk,Unknown
SK,48.1069877,18.2383626,ulanynadzitavou.sk,Facility
SK,48.877472,17.9694367,kostolna-zariecie.sk,Facility
SK,48.3791748,18.3985786,rczlatemoravce.sk,Facility
SK,49.4055886,21.1480998,obeccigelka.sk,Facility
SK,49.1365575,19.5791545,liptovskebeharovce.sk,Facility
SK,48.1252705,17.5040654,restauraciauernesta.sk,Facility
SK,48.2858361,17.2624854,tavernadimanu.sk,Facility
SK,48.2514256,17.0459063,jkmarianka.sk,Facility
SK,48.3813832,16.8392113,ubytovnazahorska.sk,Facility
SK,48.9888221,21.2492666,shopaburger.sk,Facility
SK,48.7456398,20.7745822,smolnickahuta.sk,Facility
SK,49.3847533,21.6759906,krajnabystra.sk,Facility
SK,48.7709785,18.6259628,cubanoproject.sk,Facility
SK,48.125622,18.8797892,hornesemerovce.sk,Facility
SK,48.1521221,17.1580443,retroristorante.sk,Facility
SK,48.0458591,17.6917499,peknachalupa.sk,Facility
SK,48.7116867,21.2335413,msnesporova.sk,Facility
SK,48.5667548,19.1387102,icearenazvolen.sk,Facility
SK,48.7144864,21.2497119,prospektor.sk,Commerce
